Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
AFRI,200,Introduction to African Studies.,3,Fall 2025,,,Islamic Studies (Faculty of Arts),The African experience and current approaches to African studies; through adopting multidisciplinary perspectives on topics that include political conflict; governance and democratization; environment and conservation; economic development; rural life and urbanism; health and illness; gender; social change; popular culture; literature; film; and the arts.
AFRI,401,Swahili Language and Culture.,3,Fall 2025,,,Islamic Studies (Faculty of Arts),Basic knowledge of the Swahili language and culture with emphasis on handling circumstances that might be encountered in field research: everyday conversation; developing aural and oral skills and mastering basic grammar rules; understanding cultural norms and practices; issues of culture sensitivity and appropriateness.
AFRI,480,Honours Thesis.,3,,,,Islamic Studies (Faculty of Arts),Supervised reading; research and preparation of an undergraduate thesis under the direction of a staff member.
AFRI,481,Special Topics 1.,3,,,,Islamic Studies (Faculty of Arts),Supervised reading in advanced special topics in African Studies under the direction of a member of staff.
AFRI,499,Arts Internships: African Studies.,3,,,,Islamic Studies (Faculty of Arts),Internship with an approved host institution or organization.
AFRI,598,Research Seminar in African Studies.,3,Winter 2026,,,Islamic Studies (Faculty of Arts),An interdisciplinary research seminar on topics of common interest to staff and students of the African Studies Program. As part of their contribution; students will prepare a research paper under the supervision of one or more members of staff.
AFYR,101,Complex Problems 1.,3,,,,Arts - Dean's Office (Faculty of Arts),Introduction to an area of inquiry pertinent to multipledisciplines in Arts. Demonstrates how Arts disciplines address challenging problems or topics from distinct perspectives; employing different approaches and methodologies.
AFYR,102AA,The Fictions and Realities of Work.,3,Winter 2026,,,Arts - Dean's Office (Faculty of Arts),Introduction to an area of inquiry pertinent to multipledisciplines in Arts. Demonstrates how Arts disciplines address challenging problems or topics from distinct perspectives; employing different approaches and methodologies.
ANTH,199,First Year Seminar: Anthropology.,3,Winter 2026,,,Anthropology (Faculty of Arts),Introduction to anthropology through in-depth analysis of a contemporary or historical problem. Topics include environment and climate change; law; politics and inequality; migration; gender; sexuality and kinship; film and new media; subjectivity and ritual. 
ANTH,201,Introduction to Archaeology.,3,Winter 2026,,,Anthropology (Faculty of Arts),Exploration of the definition of the discipline of archaeology and the ways that archaeologists reconstruct the past. Overview of goals; theories; research questions; and methods of anthropological archaeology. 
ANTH,202,Socio-Cultural Anthropology.,3,Summer 2025; Fall 2025,,,Anthropology (Faculty of Arts),An introduction to ways of understanding what it means to be human from the perspective of socio-cultural anthropology. Students will be introduced to diverse approaches to this question through engagement with a wide range of ethnographic cases.
ANTH,203,Human Evolution.,3,,,,Anthropology (Faculty of Arts),An examination of evolutionary theory and the fossil and archaeological record for human origins; emphasizing the interaction between physical and cultural evolution. The use of primate behaviour in reconstructing early human behaviour. The origin and meaning of human variation.
ANTH,204,Anthropology of Meaning.,3,,,,Anthropology (Faculty of Arts),Through the analysis of language; symbols and cultural constructions of meaning; this course explores how people in different societies make sense of their world; and the ways in which they organise that knowledge; and how ideologies represent the different interests present in a society.
ANTH,206,Environment and Culture.,3,Fall 2025,,,Anthropology (Faculty of Arts),Introduction to ecological anthropology; focusing on social and cultural adaptations to different environments; human impact on the environment; cultural constructions of the environment; management of common resources; and conflict over the use of resources.
ANTH,207,Ethnography Through Film.,3,,,,Anthropology (Faculty of Arts),This course will investigate and discuss cultural systems; patterns; and differences; and the ways in which they are observed; visually represented; and communicated by anthropologists using film and video. The visual representation of cultures will be critically evaluated by asking questions about perspective; authenticity; ethnographic authority and ethics.
ANTH,209,Anthropology of Religion.,3,Winter 2026,,,Anthropology (Faculty of Arts),Nature and function of religion in culture. Systems of belief; the interpretation of ritual. Religion and symbolism. The relation of religion to social organization. Religious change and social movements.
ANTH,210,Archaeology of Early Cities.,3,Fall 2025,,,Anthropology (Faculty of Arts),An introduction to the archaeology of early cities. Case studies include the cities of "great civilizations" (e.g. Egypt; Indus Valley; Inkan Empire); as well as the urban landscapes of lesser known societies; such as Great Zimbabwe in sub-Saharan Africa.
ANTH,212,Anthropology of Development.,3,Winter 2026,,,Anthropology (Faculty of Arts),Processes of developmental change; as they affect small communities in the Third World and in unindustrialized parts of developed countries. Problems of technological change; political integration; population growth; industrialization; urban growth; social services; infrastructure and economic dependency.
ANTH,213,Archaeology of Health and Disease .,3,,,,Anthropology (Faculty of Arts),Introduces theories and methods used to identify and interpret human health in the archaeological record. Focus on health impacts of factors such as infectious disease; nutrition; and social and technological changes.
ANTH,214,Violence; Warfare; Culture.,3,,,,Anthropology (Faculty of Arts),Cultural diversity and comparative perspectives on violence and warfare; sociological; political; materialist; psychological; and ideological explanations of conflict. Examines historical and contemporary cases of warfare in state and pre-state societies; 'ethnic'; civil; nationalist secessionist and genocidal forms of conflicts; processes of conflict avoidance and resolution; peace-making and -keeping.
ANTH,222,Legal Anthropology.,3,Winter 2026,,,Anthropology (Faculty of Arts),Exploration of dispute resolutions and means of social cohesion in various societies of the world. Themes: dichotomy between law and custom; local definitions of justice and rights; forms of conflict resolution; access to justice; gender and law; universality of human rights; legal pluralism.
ANTH,227,Medical Anthropology.,3,Summer 2025; Fall 2025,,,Anthropology (Faculty of Arts),Beliefs and practices concerning sickness and healing are examined in a variety of Western and non-Western settings. Special attention is given to cultural constructions of the body and to theories of disease causation and healing efficacy. Topics include international health; medical pluralism; transcultural psychiatry; and demography.
ANTH,302,New Horizons in Medical Anthropology.,3,Winter 2026,ANTH 227,,Anthropology (Faculty of Arts),Using recent ethnographies as textual material; this course will cover theoretical and methodological developments in medical anthropology since the early 1990's. Topics include a reconsideration of the relationship between culture and biology; medical pluralism revisited; globalization and health and disease; and social implications of new biomedical technologies.
ANTH,303,Ethnographies of Post-socialism.,3,Winter 2026,ANTH 202,,Anthropology (Faculty of Arts),Understanding postsocialism through engagement with ethnography that explores how markets interact with political rule; social forms; and the production of cultural values across different geographies and histories. This course focuses primarily on the former Soviet Union; East Germany; and China.
ANTH,304,Chinese Culture in Ethnography and Film.,3,Fall 2025,ANTH 202;ANTH 204;ANTH 209,,Anthropology (Faculty of Arts),Uses both ethnography and film to examine 20Ih century Chinese society and popular culture in the context of the revolution and its aftermath.
ANTH,307,Andean Prehistory.,3,Fall 2025,ANTH 201;ANTH 210,,Anthropology (Faculty of Arts),Questions related to social inequality; ritual practice; monumental space; and urban landscapes within the context of the Pre-Columbian Andes and sections on the Inkas; as well as earlier groups; such as the Nazca; Wari; Moche; Tiwanaku; and Chimu.
ANTH,308,Political Anthropology 01.,3,Winter 2026,ANTH 202;ANTH 205;ANTH 206;ANTH 212,,Anthropology (Faculty of Arts),The study of political systems and political processes. Conflict and its resolution. The emphasis of the course will be on local-level politics and non-industrial societies.
ANTH,312,Zooarchaeology.,3,Summer 2025,ANTH 201,,Anthropology (Faculty of Arts),A systematic investigation into current methodological and theoretical concerns in archaeological faunal analysis. Topics to be examined include sampling and quantification; butchery; seasonality; subsistence; taphonomy; and paleoecology.
ANTH,313,Bioarchaeology,3,,ANTH 213,,Anthropology (Faculty of Arts),Survey of foundational methods and theory used to analyze and interpret human remains in archaeological contexts. Topics will include human osteology; skeletal growth and development; building a biological profile; osteological indicators of health and lifestyle; and ethical considerations in the field. Emphasis is on the application of social bioarchaeology theory to interpret bioarchaeological data.
ANTH,314,Psychological Anthropology 01.,3,Fall 2025,,,Anthropology (Faculty of Arts),A survey of current theories and methods employed in psychological anthropology. Some areas considered are: cross-cultural studies of socialization and personality development; cultural factors in mental illness; individual adaptations to rapid socio-cultural change.
ANTH,315,Society/Culture: East Africa.,3,Fall 2025,,,Anthropology (Faculty of Arts),Overview of the history; languages and cultures of the region. Examination of the social institutions; cultural patterns; subsistence practices and environmental settings of major social groups; including hunter-foragers; fishers; pastoralists; agro-pastoralists; and cultivators. Discussion of current theoretical and ethnological issues in the study of culture and social change.
ANTH,318,Globalization and Religion.,3,,ANTH 209;ANTH 204;ANTH 355;ANTH 352;RELG 207,,Anthropology (Faculty of Arts),The interactions between religion and the economic; social and cultural transformations of globalization:  relations between globalization and contemporary religious practice; meaning; and influence at personal and collective levels.
ANTH,319,Inka Archaeology and Ethnohistory.,3,,ANTH 201;ANTH 202;HISP 225,,Anthropology (Faculty of Arts),In-depth study of material and symbolic manifestations of power and identity in the Pre-Columbian Inka state; drawing on both archaeological and ethnohistoric sources.
ANTH,322,Social Change in Modern Africa.,3,,ANTH 202;ANTH 204;ANTH 205;ANTH 206;ANTH 209;ANTH 212;ANTH 227,,Anthropology (Faculty of Arts),The impact of colonialism on African societies; changing families; religion; arts; political and economic transformation; migration; urbanization; new social categories; social stratification; the social setting of independence and neo-colonialism; continuity; stagnation; and progressive change.
ANTH,325,Anthropology of the Self.,3,,ANTH 202;ANTH 227,,Anthropology (Faculty of Arts),A review of the anthropological problematization of the self. The course examines ethnographically how illness; mental illness; pharmaceuticals; psychoanalysis; possession; death; violence and colonization disrupt our commonsense notions of the self and its relation to the other.
ANTH,326,Anthropology of Latin America.,3,Fall 2025,ANTH 202,,Anthropology (Faculty of Arts),Central themes in the anthropology of Latin America; including colonialism; religiosity; sexuality and gender; indigeneity; social movements; and transnationalism.
ANTH,327,Anthropology of South Asia.,3,Fall 2025,ANTH 202;ANTH 205;ANTH 206;ANTH 209,,Anthropology (Faculty of Arts),An introduction to anthropological research in India and greater South Asia. Topics include politics; caste; class; religion; gender and sexuality; development and globalization.
ANTH,330,Traditional Whaling Societies.,3,,ANTH 201;ANTH 202;ANTH 203,,Anthropology (Faculty of Arts),The investigation of similarities and diversity of prehistoric and historic small-scale whaling societies. Examples will be drawn from throughout the world; including; but not limited to; East Asia; Northwest Coast; Arctic; North Atlantic and Northern Europe societies.
ANTH,331,Prehistory of East Asia.,3,,ANTH 201,,Anthropology (Faculty of Arts),Comparative study of prehistoric hunting and gathering cultures in China; Japan; Korea; Mongolia and Eastern Siberia; origins and dispersal of food production; cultural processes leading to the rise of literate civilizations in certain regions of East Asia.
ANTH,332,Mesoamerican Archaeology.,3,Winter 2026,,,Anthropology (Faculty of Arts),Central themes in the archaeological study of ancient and colonial Mesoamerica; such as social identity; political economy; and cosmogony; peoples covered will include the Aztecs; Maya; Olmecs; Teotihuacanos; and others.
ANTH,338,Indigenous Studies of Anthropology.,3,Fall 2025,ANTH 202;ANTH 204;ANTH 206;ANTH 209;ANTH 212,,Anthropology (Faculty of Arts),Introduction to Native American and Indigenous studies (NAIS) as a means of critically engaging with the discipline of anthropology.
ANTH,339,Ecological Anthropology.,3,Winter 2026,ANTH 204;ANTH 206;ENVR 201;ENVR 203;GEOG 300;SOCI 328,,Anthropology (Faculty of Arts),Intensive study of theories and cases in ecological anthropology. Theories are examined and tested through comparative case-study analysis. Cultural constructions of "nature" and "environment" are compared and analyzed. Systems of resource management and conflicts over the use of resources are studied in depth.
ANTH,340,Middle Eastern Society and Culture.,3,Winter 2026,ANTH 202;ANTH 204;ANTH 206;ANTH 209;ANTH 212;ANTH 227,,Anthropology (Faculty of Arts),Exploration of daily life; culture and society in the Middle East; through examination of ethnographic accounts.
ANTH,343,Anthropology and the Animal.,3,Winter 2026,ANTH 200,,Anthropology (Faculty of Arts),This course explores through the ethnographic study of human-animal relations how the question of "the animal" helps us examine our central assumptions about what it means to be human.
ANTH,344,Quantitative Approaches to Anthropology.,3,,ANTH 201;ANTH 202;ANTH 205,,Anthropology (Faculty of Arts),A non-statistics course designed to understand and critically evaluate quantitatively based arguments encountered in the literature of all branches of Anthropology.
ANTH,352,History of Anthropological Theory.,3,Fall 2025,,,Anthropology (Faculty of Arts),Exploration in the history of anthropological theory; schools; controversies; intellectual history; sociology of knowledge.
ANTH,355,Theories of Culture and Society.,3,Winter 2026,,,Anthropology (Faculty of Arts),Contributions to contemporary anthropological theory; theoretical paradigms and debates; forms of anthropological explanation; the role of theory in the practice of anthropology; concepts of society; culture and structure; cultural evolution and relativity; interpretive anthropology; post-modernism.
ANTH,357,Archaeological Methods.,3,Fall 2025,ANTH 201,,Anthropology (Faculty of Arts),The collection of materials in field investigations and their analysis to yield cultural information. The processes of inference and reconstruction in archaeological interpretation.
ANTH,358,The Process of Anthropological Research.,3,Fall 2025,,,Anthropology (Faculty of Arts),The nature of anthropological research as evidenced in monographs and articles; processes of concept formation and interpretation of data; the problem of objectivity.
ANTH,359,History of Archaeological Theory.,3,Winter 2026,ANTH 201;ANTH 203;ANTH 210,,Anthropology (Faculty of Arts),A systematic investigation of the theories that have guided the interpretation of prehistoric archaeological data since the Middle Ages; the relationship between these theories and theoretical developments in the other social sciences.
ANTH,361,Archaeology of South Asia.,3,,ANTH 201;ANTH 210,,Anthropology (Faculty of Arts),This course explores the archaeology of South Asia from prehistoric through early historic times focusing on the region covered by India; Pakistan; Bangladesh; Nepal and Sri Lanka. We will investigate the shifting materiality of social landscapes; political; ritual and ecological practices. The course interrogates a number of anthropological themes including human evolution; social organization; food production; craft production; trade and exchange; the transition(s) to urbanism; the development of socio-political inequalities and institutions; regional and supra-regional polities and religious traditions. We will address some of the historiographical and epistemological problems with using archaeological data to produce narratives of South Asia’s past.
ANTH,365,Anthropology of Forced Migration and Displacement.,3,,,,Anthropology (Faculty of Arts),How does anthropology study those defined as exceptions within the political order of citizenship? Refugees; migrants; and asylum seekers challenge this order at its core. We engage anthropologists; political theorists; and legal scholars who explore the political implications of such others; as well as the theoretical and practical implications of the terms themselves. Readings trace the theoretical evolution of the refugee from state threat and abject other in need of containment and care to agent of political change; ranging from studies of citizenship and exclusion; humanitarianism and the biopolitics of refugee management; to “experience-near” ethnographies of forced migration and exile. 
ANTH,370,Anthropology and the Image.,3,,,ANTH 380,Anthropology (Faculty of Arts),An introduction to the role of the image in everyday life as it is revealed ethnographically. Topics will include the role of the image in thinking; dreaming; knowing; feeling and acting. An investigation of the way images; of one sort or another; constitute the material out of which much anthropological analysis is built. 
ANTH,380,Special Topic 1.,3,Fall 2025; Winter 2026,,,Anthropology (Faculty of Arts),Supervised reading in special topics under the direction of a member of the staff.
ANTH,381,Special Topic 2.,3,Fall 2025; Winter 2026,,,Anthropology (Faculty of Arts),Supervised reading in special topics under the direction of a member of the staff.
ANTH,385,Sex; Science and Culture.,3,Fall 2025,ANTH 202;ANTH 227,ANTH 380,Anthropology (Faculty of Arts),Interdisciplinary introduction to the study of human sexuality; scientific theories of sexuality and historical and cultural contexts of sexual acts; desires; relations and identities. Topics include: legacies of sexology; eugenics; sexuality and identity; sex in nature; gender and colonialism; sexual-economic exchange; marriage; monogamy.
ANTH,402,Topics in Ethnography.,3,Winter 2026,,,Anthropology (Faculty of Arts),An exploration of selected ethnographic case material. Investigation of a regional literature or survey of significant contributions to ethnography or examination of an ethnological issue.
ANTH,403,Current Issues in Archaeology.,3,,ANTH 357;ANTH 359,,Anthropology (Faculty of Arts),Current issues in archaeological interpretation; in particular; those relating to processual and postprocessual archaeology.
ANTH,405,Genomes in Anthropology.,3,,ANTH 352;ANTH 355;ANTH 359,,Anthropology (Faculty of Arts),The historical and current applications of genomic technologies within anthropological research; including archaeology. Includes the process of knowledge production from genomic samples and data as well as the ethical challenges that accompany the expanding; interdisciplinary field of anthropological genomics.
ANTH,407,Anthropology of the Body.,3,Winter 2026,ANTH 227,,Anthropology (Faculty of Arts),This course will survey theoretical approaches used over the past 100 years; and then focus on contemporary debates using case studies. The nature/culture mind/ body; subject/object; self/other dichotomies central to most work of the body will be problematized.
ANTH,408,Sensory Ethnography.,3,Fall 2025,,,Anthropology (Faculty of Arts),Anthropology of the senses through the study of ethnographic film; photography and sound. Topics include: the role of senses and emotion in the production of knowledge; non-word based ways of knowing; and the relation between image and text in anthropology.
ANTH,410,Great Debates in Anthropological Theory.,3,,ANTH 352;ANTH 355,,Anthropology (Faculty of Arts),Exploration of several major debates in anthropological theory; such as science vs. postmodernism; postcolonial theory and its critics; and academic knowledge vs. advocacy and activism.
ANTH,412,Topics: Anthropological Theory.,3,Fall 2025; Winter 2026,,ANTH 355,Anthropology (Faculty of Arts),A concentrated examination of selected theoretical literature. A current theoretical issue will be examined; or the work of a major anthropological theorist or school will be explored and assessed.
ANTH,413,Gender in Archaeology.,3,Fall 2025,ANTH 201;ANTH 331;ANTH 345;ANTH 347;ANTH 348,,Anthropology (Faculty of Arts),Relationship between the structure of the archaeological discipline and construction of gender roles in past human societies; division of tasks between men and women in subsistence activities; organization of the household and kin groups; and creation of power and prestige in a larger community.
