Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
EDEA,204,Drawing.,3,Fall 2025,,,Integrated Studies in Ed (Faculty of Education),Development of sound drafting skills through the study of organic forms and the human figure in various media.
EDEA,205,Painting 2.,3,Winter 2026,EDEA 204,,Integrated Studies in Ed (Faculty of Education),Investigation of color; media; tools; techniques. Studies of natural forms; the human figure.
EDEA,206,1st Year Professional Seminar.,1,Summer 2025,EDEC 248;EDEC 249;EDEC 260;EDEC 261,,Integrated Studies in Ed (Faculty of Education),This seminar along with First Field Experience (Music) serves as an orientation to the culture of the school and to teaching as a profession. Emphasis is on the general functioning of elementary and secondary schools. Topics include the role of the arts in the curriculum. Professional portfolios and professional competencies will be addressed.
EDEA,208,Second Professional Seminar (Music) .,1,Summer 2025,EDEC 260;EDEC 261;EDEC 248;EDEC 249;EDFE 205;EDPE 300,EDEC 253,Integrated Studies in Ed (Faculty of Education),Preparation for the second field experience through development of basic practices in planning and teaching in music classrooms. Relevant professional competencies and working professional portfolios will be addressed. 
EDEA,241,Basic Art Media for Classroom.,3,Fall 2025; Winter 2026,,,Integrated Studies in Ed (Faculty of Education),An introduction to media that can be easily adapted to elementary classroom studio exploration.
EDEA,242,Cultural Skills 1.,3,,,,Integrated Studies in Ed (Faculty of Education),Development of Indigenous skills and knowledge in art; music; handicrafts and other areas both modern and traditional. Topics will vary and be chosen from a range identified by instructors and students.
EDEA,243,Cultural Skills 2.,3,,,,Integrated Studies in Ed (Faculty of Education),Development of Indigenous skills and knowledge in art; music; handicrafts and other areas both modern and traditional.
EDEA,244,Cultural Skills,3,,,,Integrated Studies in Ed (Faculty of Education),Development of Indigenous skills and knowledge in art; music; handicrafts and other areas both modern and traditional. Topics will vary and be chosen from a range identified by instructors and students. Seasonally based and will cover Fall cultural skills.
EDEA,245,Cultural Skills,3,Winter 2026,,,Integrated Studies in Ed (Faculty of Education),Development of Indigenous skills and knowledge in art; music; handicrafts and other areas both modern and traditional. Topics will vary and be chosen from a range identified by instructors and students. Seasonally based and will cover Winter cultural skills.
EDEA,246,Cultural Skills,3,,,,Integrated Studies in Ed (Faculty of Education),Development of Indigenous skills and knowledge in art; music; handicrafts and other areas both modern and traditional. Topics will vary and be chosen from a range identified by instructors and students. Seasonally based and will cover Spring cultural skills.
EDEA,247,Cultural Skills,3,Summer 2025,,,Integrated Studies in Ed (Faculty of Education),Development of Indigenous skills and knowledge in art; music; handicrafts and other areas both modern and traditional. Topics will vary and be chosen from a range identified by instructors and students. Seasonally based and will cover Summer cultural skills.
EDEA,296,Basic Design.,3,Fall 2025,,,Integrated Studies in Ed (Faculty of Education),Exploration of the basic elements of visual art through two dimensional composition and three-dimensional constructions. Investigation of materials and tools and the processes of manipulating and relating materials.
EDEA,302,Special Topics.,3,,,,Integrated Studies in Ed (Faculty of Education),Selected topics and contemporary issues in education in the arts. The content will vary from year to year and will be announced prior to registration.
EDEA,304,Painting 3.,3,,EDEA 205,,Integrated Studies in Ed (Faculty of Education),Continuation of course EDEA 205 with emphasis on drawing and structure.
EDEA,307,Drawing 2.,3,,EDEA 204,,Integrated Studies in Ed (Faculty of Education),A course designed to further the individual's natural drawing ability; and to develop a keen; perceptive approach to varied subject matter; including figure drawing.
EDEA,332,Art Curriculum and Instruction,3,Fall 2025; Winter 2026,,,Integrated Studies in Ed (Faculty of Education),An introduction to theories on children's visual expression and perception; lesson planning; and classroom-oriented studio practice.
EDEA,341,Listening for Learning.,3,,,,Integrated Studies in Ed (Faculty of Education),Musical knowledge is developed and articulated through a structured approach to listening. Using recorded examples; students learn how to recognize; identify and discuss musical elements; devices; styles and genres.
