Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
AERO,401,Introduction to Aerospace Engineering.,3,Fall 2025,,,Institute for Aerospace Eng. (Faculty of Engineering),Basic concepts in all relevant aspects of aerospace engineering. Introduction to aircraft and spacecraft components; systems and operation. Aerodynamic and flight mechanics. Structures and materials. Propulsion systems. Manufacturing processes. Control and systems. Avionics and navigation.
AERO,410,Aerospace Design and Certification Process.,3,Winter 2026,AERO 401,,Institute for Aerospace Eng. (Faculty of Engineering),Design and certification process for aircraft; helicopters and spacecraft. Operation and performance requirements. Preliminary and detailed design process. Performance analysis. Regulatory agencies overview. Certification process. Life cycle analysis. Cost analysis. Flight testing programs. Delivery and operation.
AERO,420,Introduction to Aerospace Design.,3,,AERO 401,,Institute for Aerospace Eng. (Faculty of Engineering),Multidisciplinary design of an aerospace vehicle that considers the fluid mechanics; performance; stability and control; avionics; electrical system; propulsion; structures; and materials in a system approach aimed for a set of specifications.
AERO,460D1,Aerospace Project.,3,Fall 2025,,,Institute for Aerospace Eng. (Faculty of Engineering),Application of the material learned in other courses in the Minor in Aerospace Engineering to an applied project. Team project work will involve the design; fabrication; verification; and application of an aerospace system / component. Lectures on topics related to design and management of design projects. Emphasis is on the completion of a project of professional quality in collaboration with the aerospace industry.
AERO,460D2,Aerospace Project.,3,Winter 2026,AERO 460,,Institute for Aerospace Eng. (Faculty of Engineering),For description see AERO 460D1.
ARCH,201,Communication; Behaviour and Architecture.,6,Fall 2025,,,Architecture (Faculty of Engineering),Introduction to design; development of design judgement and communication skills in a series of exercises addressing light; scale; space; form and colour in the built environment; introduction to techniques of oral and graphic presentation; including model making; photography; sketching and architectural drawing. The course is based in the studio and includes lectures; seminars and field trips.
ARCH,202,Architectural Graphics and Elements of Design.,6,Winter 2026,ARCH 201,,Architecture (Faculty of Engineering),Introduction to architectural design; consideration of building form in relation to program; structural system; material selection; site and climate; further development of skills in model making; conventional architectural drawing; axonometric and perspective drawing; sketching and architectural rendering. The course is based in the studio and includes lectures; seminars and field trips.
ARCH,221,Architectural Drawing.,2,,,ARCH 217;ARCH 218,Architecture (Faculty of Engineering),Strategies for visualization and representation based on perspective; orthographic and oblique projection; drawing in the design process; relationship of drawing type to design intention; freehand drawing and sketching; architectural survey and notebook recording. Students work in the studio and in the field in a range of media.
ARCH,240,Organization of Materials in Buildings.,3,Winter 2026,,,Architecture (Faculty of Engineering),The characteristics of basic building materials: wood; steel; masonry and concrete. How building materials are shaped into building components; and how these components are integrated into the building envelope. Problems; laboratory projects and field trips to illustrate principles.
ARCH,241,Architectural Structures 1.,3,Winter 2026,,,Architecture (Faculty of Engineering),Introduction to the fundamental concepts and forms of structures in architecture.
ARCH,250,Architectural History 1.,3,Fall 2025,,,Architecture (Faculty of Engineering),The study of architecture and cities from ancient times to 1750.
ARCH,251,Architectural History 2.,3,Winter 2026,ARCH 250,,Architecture (Faculty of Engineering),The study of North American architecture and cities from 1950 to the present.
