Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
AEBI,120,General Biology.,3,Fall 2025,,,Natural Resource Sciences (Faculty of Agric Environ Sci),An introduction to core themes in biological sciences; including cell structure and function; cell replication; gene expression; genetic inheritance; biodiversity; evolution; and ecological interactions.
AEBI,122,Cell Biology.,3,Winter 2026,,BIOL 112;LSCI 202,Bioresource Engineering (Faculty of Agric Environ Sci),Introduction to key topics in cell biology; including chemical biology; cell membranes; enzymes in biological reactions; cellular energetics; cell signaling; DNA synthesis and repair; gene expression and regulatory mechanisms. Connections between cell biology and animal physiology.
AEBI,210,Organisms 1.,3,Fall 2025,,,Plant Science (Faculty of Agric Environ Sci),The biology of plants and plant-based systems in managed and natural terrestrial environments. The interactions between autotrophs and soil organisms and selected groups of animals with close ecological and evolutionary connections with plants (e.g.; herbivores and pollinators) will be explored in lecture and laboratory.
AEBI,211,Organisms 2.,3,Winter 2026,,,Natural Resource Sciences (Faculty of Agric Environ Sci),Introduction to the biology of heterotrophs; focusing on animal diversity from the perspectives of phylogenetics; physiology; and ecology. Introduction to major animal taxa; comparing and contrasting these taxa; and exploration of the relationships among them.
AEBI,212,Evolution and Phylogeny.,3,Winter 2026,,,Natural Resource Sciences (Faculty of Agric Environ Sci),Overview of the tree of life and exploration of the central role evolution plays in the field of biology. Difficulties inherent to classifying life and critically assessing evolutionary theory among scientific and popular audiences. The importance of phylogenetics and the relationships among major groups of organisms.
AEBI,421,Tropical Horticultural Ecology.,3,Summer 2025,,,Plant Science (Faculty of Agric Environ Sci),A comprehensive survey of the major fruit; vegetable; turf; and ornamental crops grown in Barbados. Effect of cultural practices; environment; pests and pathogens; social and touristic activities; and importation of horticultural produce on local horticulture.
AEBI,423,Sustainable Land Use.,3,Summer 2025,,,Plant Science (Faculty of Agric Environ Sci),Management; preservation; and utilization of forage crops in sustainable tropical environments; examination of their value as livestock feed in terms of nutritional composition and impact on animal performance; land use issues as it pertains to forage and animal production in insular environments.
AEBI,425,Tropical Energy and Food.,3,Summer 2025,,,Plant Science (Faculty of Agric Environ Sci),Tropical biofuel crops; conversion processes and final products; particularly energy and greenhouse gas balances and bionutraceuticals. Topics include effects of process extraction during refining on biofuel economics; the food versus fuel debate and impact of biofuels and bioproducts on tropical agricultural economics.
AEBI,427,Barbados Interdisciplinary Project.,6,Summer 2025,,,Plant Science (Faculty of Agric Environ Sci),The planning of projects and research activities related to tropical food; nutrition; or energy at the local; regional; or national scale in Barbados. Projects and activities designed in consultation with university instructors; government; NGO; or private partners; and prepared by teams of 2-3 students working cooperatively with these mentors.
AECH,110,General Chemistry 1.,4,Fall 2025,,FDSC 110,Bioresource Engineering (Faculty of Agric Environ Sci),The course will be a study of the fundamental principles of atomic structure; valence theory and the periodic table.
AECH,111,General Chemistry 2.,4,Winter 2026,AECH 110;FDSC 110,FDSC 111,Bioresource Engineering (Faculty of Agric Environ Sci),Thermodynamics; kinetics; equilibrium; aqueous solution chemistry including applications to acids; bases and buffers and selected topics in organic chemistry.
AECH,118,General Chemistry Laboratory 1.,1,Fall 2025,,AECH 110;AECH 110;CHEM 110;CHEM 112,Bioresource Engineering (Faculty of Agric Environ Sci),The laboratory component of AECH 110. Illustrative experiments.
AECH,119,General Chemistry Laboratory 2.,1,Fall 2025; Winter 2026,,AECH 111;AECH 111;CHEM 120;CHEM 122,Bioresource Engineering (Faculty of Agric Environ Sci),The laboratory component of AECH 111. Illustrative experiments.
AEHM,205,Science Literacy.,3,,,,Natural Resource Sciences (Faculty of Agric Environ Sci),Development of English language and information literacy. Problem-based approach using science topics from specializations offered by the Faculty will be central to skill development. The course includes how to research and compose work in scientific format and will encourage a reader-oriented style.
AEIS,230,Indigenous Health & Nutrition,3,Winter 2026,,,Human Nutrition (Faculty of Agric Environ Sci),Examination of the histories impacting the contemporary nutrition; environment; and health of the Indigenous Peoples of Turtle Island by integrating Western and Indigenous knowledge systems with best practices in supporting Indigenous decision-making. Topics include: Indigenous knowledge systems and methodologies; Treaties and Reconciliation; Residential and Day schools; food sovereignty; environmental contamination and climate change; community-based participatory research; Indigenous access to health care; reflexivity and cultural safety; media advocacy strategies.
AEMA,101,Calculus 1 with Precalculus.,4,Fall 2025,,,Bioresource Engineering (Faculty of Agric Environ Sci),A review of precalculus: functions; graphs;polynomials and rational functions; exponentialand logarithmic functions; and trigonometry.Limits; continuity; and derivatives. Differentiationof elementary functions. Anti-differentiation. Applications.
AEMA,102,Calculus 2.,4,Winter 2026,,,Bioresource Engineering (Faculty of Agric Environ Sci),Integration; the indefinite and definite integral. Trapezoidal and Simpson's Rule approximations for the integral. Applications to areas between curves; distance; volume; length of a curve; work; area of a surface of revolution; average values; moments; etc. Improper integrals and infinite series.
AEMA,105,Precalculus Lab.,1,,,AEMA 102;AEMA 100;FAES who;MATH 112,Bioresource Engineering (Faculty of Agric Environ Sci),Problem-solving: foundational material in algebra concepts; functions and graphs; polynomials and rational functions; exponential and logarithmic functions; graphs and equations; trigonometry; analytic trigonometry; systems of linear equations; sequences & series.
AEMA,202,Intermediate Calculus.,3,Fall 2025,AEMA 102;BREE 103,MATH 222,Bioresource Engineering (Faculty of Agric Environ Sci),Methods of differential and integral calculus forthe study of multivariable functions. Calculus of parametric and polar curves; vectors and geometry of space; vector functions; partial derivatives; multiple integrals; and their applications.
AEMA,204,Data Analytics for Biosystems,3,Winter 2026,,,Bioresource Engineering (Faculty of Agric Environ Sci),Techniques and tools used to analyze agricultural and environmental data using some common programs (Microsoft Excel; Python; R; Jupyter Notebook; RStudio).
AEMA,305,Differential Equations.,3,Winter 2026,AEMA 202,MATH 315,Bioresource Engineering (Faculty of Agric Environ Sci),First and second order differential equations; Laplace transforms; numerical solutions; systems of differential equations; series solutions; applications to biological; chemical and engineering systems; use of computer-based mathematical tools.
AEMA,310,Statistical Methods 1.,3,Fall 2025; Winter 2026,,,Plant Science (Faculty of Agric Environ Sci),Measures of central tendency and dispersion; binomial and Poisson distributions; normal; chi-square; Student's t and Fisher-Snedecor F distributions; estimation and hypothesis testing; simple linear regression and correlation; analysis of variance for simple experimental designs.
AEMA,403,Environmetrics Stage.,3,Summer 2025; Fall 2025; Winter 2026,,,Plant Science (Faculty of Agric Environ Sci),Summer stage of at least four weeks; including a report. Provides students with professional experience in statistical analyses of environmental data. Can be undertaken at federal or provincial research stations and university research laboratories.
AEMA,411,Experimental Designs 01.,3,Winter 2026,AEMA 310,,Plant Science (Faculty of Agric Environ Sci),General principles of experimental design; split-plot designs; spatial heterogeneity and experimental design; incomplete block designs and unbalanced designs; analysis of repeated measures; multivariate and modified univariate analyses of variance; central composite designs.
AEMA,414,Temporal and Spatial Statistics 01.,3,Winter 2026,AEMA 310,,Plant Science (Faculty of Agric Environ Sci),Temporal statistics: analysis in the time domain; Box-Jenkins forecasting methodology; analysis in the frequency domain; periodogram analysis. Spatial statistics: mapping; autocorrelogram analysis; geostatistics. Statistical inference with autocorrelated sample data.
AEPH,112,Introductory Physics 1.,4,Fall 2025,,AEPH 113,Bioresource Engineering (Faculty of Agric Environ Sci),Kinematics in one and two dimensions. Newton's laws of motion. Circular motion and orbits. Rotation of a rigid body. Momentum. Work and energy; power. Conservation principles. Simple harmonic motion. Waves and sound. 
