Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
ACCT,604,Financial Statements 1.,3,Summer 2025,FINE 673,,Management (Graduate Studies),Introduction to financial accounting; including the objectives of financial statement analysis. Discussion of the limitations of the financial information used in financial statement analysis.
ACCT,605,Financial Statements 2.,3,,ACCT 604,,Management (Graduate Studies),The company valuation process. Establish frameworks using public data.
ACCT,618,Financial Reporting: Structure and Analysis.,3,Winter 2026,,,Management (Graduate Studies),An in-depth analysis of corporate financial reporting principles and practices; with emphasis on developing the abilities of the student to discriminate between the form and substance of corporate financial reports. Analysis of all components of the financial statements with the effect of reference to alternative practices on financial reports.
ACCT,623,Intermediate Financial Reporting 2.,3,,ACCT 622,,Management (Graduate Studies),Theoretical foundation for financial reporting concepts such as liability and equity measurement; intercorporate investments.
ACCT,626,Data Analytics in Accounting.,1,Winter 2026,INSY 660;INSY 662;MGSC 660;MGSC 661,,Management (Graduate Studies),Exploration of how financial and non-financial metrics can be linked to business performance through practica application learning. Examination of mandatory and voluntary corporate disclosure; financial statement analysis; return predictability; and fraud detection.
ACCT,645,Financial Management in Healthcare.,2,,,,Management (Graduate Studies),Concepts of financial accounting to the non-accountant user of financial information. Fundamental knowledge of financial accounting; including financial statements; accounting “rules”; assets; liabilities and equity; the income statements as well as the financial statement analysis. 
ACCT,645D1,Financial Management in Healthcare.,1,Winter 2026,,,Management (Graduate Studies),Concepts of financial accounting to the non-accountant user of financial information. Fundamental knowledge of financial accounting; including financial statements; accounting “rules”; assets; liabilities and equity; the income statements as well as the financial statement analysis. 
ACCT,645D2,Financial Management in Healthcare.,1,Summer 2025,ACCT 645,,Management (Graduate Studies),For description see ACCT 645D1.
ACCT,653,Issues in Professional Accounting 1.,3,Summer 2025,,,Management (Graduate Studies),How fundamental concepts in financial accounting and reporting; including technically complex accounting issues and their audit; performance management; tax and finance implications; are integrated into decision-making.
ACCT,654,Issues in Professional Accounting 2.,3,Summer 2025,,,Management (Graduate Studies),Fundamental concepts in financial accounting and reporting; including technically complex accounting issues and their audit; performance management; tax and finance implications; are integrated into decision-making and strategies through case scenarios.
ACCT,663,Strategic Aspects of Accounting 1.,3,Summer 2025,,,Management (Graduate Studies),Corporate governance; strategy; risk management; and management reporting needs; with a particular emphasis on their integration with accounting practice; finance and taxation.  Formulating deliberate and emergent strategies; and translating those strategies into specific objectives and actions which are used in decision-making.
ACCT,664,Strategic Aspects of Accounting 2.,3,Summer 2025,,,Management (Graduate Studies),Corporate governance; strategy; risk management; and management reporting needs; with a particular emphasis on their integration with accounting practice; finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.
ACCT,683,Practice of Taxation.,3,Fall 2025,ACCT 653;ACCT 654;ACCT 663;ACCT 664,,Management (Graduate Studies),Providing taxation services and guidance; including assisting individual and corporate entities to minimize taxes and meet their objectives while complying with tax laws and regulations.  Addressing compliance and tax-planning issues for both individuals and corporate entities; as well as; to a lesser extent; partnerships and trusts. Recognizing the interrelationship between financial reporting decisions and taxation; and the importance of taking taxes into account when making business and investment decisions.
ACCT,687,Assurance Services.,3,Fall 2025,ACCT 653;ACCT 654;ACCT 663;ACCT 664,,Management (Graduate Studies),Performing both internal audit projects and external assurance engagements; from understanding how governance plays a key role; assessing the need for an engagement; to developing and performing the procedures; through to documenting and reporting results. 
ACCT,689,Financial Business Analysis.,3,,ACCT 653;ACCT 654;ACCT 663;ACCT 664,,Management (Graduate Studies),Developing overall finance policies and identifying; analyzing; evaluating; and recommending investment and financing decisions.  Applying appropriate finance principles and conceptual approaches to determine appropriate courses of action.  Providing finance-related services for an entity; either individually or as part of a larger team; understanding when the advice of a finance specialist is required; and understanding and communicating with other finance professionals.
ACCT,690,Advanced Topics in Accounting 1.,3,,,,Management (Graduate Studies),A learning cell in which one or more students work with a faculty member.
ACCT,695,Integrative Analysis.,4,Summer 2025,ACCT 683;ACCT 685;ACCT 687;ACCT 689,,Management (Graduate Studies),Integration of the enabling competencies and the six technical competency areas required of a CPA. Developing strategic leadership capabilities and the ability to bring an integrative perspective to decision-making including: professional and ethical behaviour; problem-solving and decision-making; communication (both written and oral); self-management; teamwork and leadership.
ACCT,696,Advanced Topics in Accounting Analytics.,1,,INSY 660;INSY 662;MGSC 660;MGSC 661,,Management (Graduate Studies),Current emerging topics in accounting analytics. Course content will vary each term.
ACCT,699,Exam Preparation Seminar.,8,Summer 2025,ACCT 683;ACCT 685;ACCT 687;ACCT 689,,Management (Graduate Studies),Using complex and highly integrative cases that simulate real-life business issues to apply the technical and enabling competencies acquired throughout the CPA certification program. Practicing developing responses to business simulations and communicating a well-structured response.
ACCT,705,Seminar in Accounting 1,3,Winter 2026,,,Management (Graduate Studies),Seminar in Accounting.
ACCT,706,Research Design in Accounting.,3,Fall 2025,,,Management (Graduate Studies),Course is designed in two parts. The first part covers major research design issues relevant to all fields of accounting. The second part addresses critical methodological issues specific to various fields of accounting research.
ACCT,707,Accountability and Sustainability.,3,,,,Management (Graduate Studies),The course provides an overview of key research on the broader role of accounting and accountability in shaping sustainable organizational and societal practices.  The course focuses on most recent theoretical and empirical advances in two rapidly growing interrelated fields of research: environmental accounting and social accounting.
ACCT,710,Seminar in Accounting 2,3,,,,Management (Graduate Studies),Seminar in Accounting.
AEBI,665,Fundamentals in Advanced Bioimaging.,3,Fall 2025,,,Parasitology (Graduate Studies),Introduction to the principles of fluorescence microscopy; hands-on training on fluorescence imaging; a review of advanced fluorescence microscopy techniques with an emphasis on super-resolution microscopy; and case studies on the application of imaging techniques in biomedical research with a focus on infectious disease models. 
AEMA,610,Statistical Methods 2.,3,Fall 2025,AEMA 310,,Animal Science (Graduate Studies),Principles of linear models; multiple regression equations and classification models. Introduction to Analysis of Variance and common statistical designs used in agricultural and environmental sciences. Emphasis on balanced and unbalanced designs and data structures; their analysis and tests of statistical significance.
AEMA,611,Experimental Designs 1.,3,Winter 2026,AEMA 310,,Plant Science (Graduate Studies),General principles of experimental design; split-plot designs; spatial heterogeneity and experimental design; incomplete block designs and unbalanced designs; analysis of repeated measures; multivariate and modified univariate analyses of variance; central composite designs.
AEMA,614,Temporal and Spatial Statistics 1.,3,Winter 2026,AEMA 310,,Plant Science (Graduate Studies),Temporal statistics: analysis in the time domain; Box-Jenkins forecasting methodology; analysis in the frequency domain; periodogram analysis. Spatial statistics: mapping; autocorrelogram analysis; geostatistics.  Statistical inference with autocorrelated sample data.
AGEC,633,Environmental and Natural Resource Economics.,3,Winter 2026,,,Agricultural Economics (Graduate Studies),An advanced course in the theory and problems of environmental and resource economics and in the analytical techniques used to assess environmental and resource use issues.
AGEC,685,Selected Topics in Agricultural Economics.,3,Fall 2025; Winter 2026,,,Agricultural Economics (Graduate Studies),This course is designed to permit students to explore agricultural economics topics that are not covered in other courses. Students may be asked to prepare a presentation or lead discussion on the selected topic for the benefit of other students and staff. (Pass/Fail grading.)
AGEC,690,Seminar in Agricultural Economics.,3,Fall 2025; Winter 2026,,,Agricultural Economics (Graduate Studies),Current research on economic problems of agriculture; the agri-food system and the environment through presentations by staff; students and special guests. Article discussion on the latest issues and methods in agricultural economics.
AGEC,691,M.Sc. Thesis 1.,3,Fall 2025; Winter 2026,,,Agricultural Economics (Graduate Studies),Thesis proposal development - problem statement. 
AGEC,692,M.Sc. Thesis 2.,3,Fall 2025; Winter 2026,,,Agricultural Economics (Graduate Studies),Literature review for the thesis research.
AGEC,693,M.Sc. Thesis 3.,6,Fall 2025; Winter 2026,,,Agricultural Economics (Graduate Studies),Develop hypotheses for testing and identify the appropriate method.
AGEC,694,M.Sc. Thesis 4.,6,Fall 2025; Winter 2026,,,Agricultural Economics (Graduate Studies),Research to be undertaken on hypotheses testing and interpreting results.
AGEC,695,M.Sc. Thesis 5.,6,Fall 2025; Winter 2026,,,Agricultural Economics (Graduate Studies),Writing of the final version of the thesis under the supervision of the Supervisory Committee to be submitted for graduation. 
ANAT,601,MSc Seminar Examination.,3,Fall 2025,,,Anatomy and Cell Biology (Graduate Studies),The term before the student graduates; the student is to present a 30 minute seminar on their thesis work in a public seminar open to all members of the Department of Anatomy & Cell Biology; followed by a question period lasting 15 to 20 minutes. All faculty; cross-appointed academic staff; post docs and students are expected to attend the seminar.
ANAT,690D1,Cell and Developmental Biology.,3,Fall 2025,,,Anatomy and Cell Biology (Graduate Studies),Current developments in molecular cell biology and developmental biology will be presented by course coordinators and staff from primary papers in the scientific literature. These will be researched and critiqued by students through oral and written presentations. Two term papers are required for students taking the course.
ANAT,690D2,Cell and Developmental Biology.,3,Winter 2026,ANAT 690,,Anatomy and Cell Biology (Graduate Studies),See ANAT 690D1 for course description.
ANAT,695,Seminars in Cell Biology 1.,3,Fall 2025,,,Anatomy and Cell Biology (Graduate Studies),Weekly assignments based on seminars attended will be graded by the supervisor. A grade of P or F will be assigned.
ANAT,696,Seminars in Cell Biology 2.,3,Fall 2025,ANAT 695,,Anatomy and Cell Biology (Graduate Studies),Weekly assignments based on seminars attended will be graded by the supervisor. A grade of P or F will be assigned.
ANAT,697,Seminars in Cell Biology 3.,3,Fall 2025,ANAT 695;ANAT 696,,Anatomy and Cell Biology (Graduate Studies),Weekly assignments based on seminars attended will be graded by the supervisor. A grade of P or F will be assigned.
ANAT,698,M.Sc. Thesis Research 1.,2,Fall 2025,,,Anatomy and Cell Biology (Graduate Studies),Independent research work under the direction ofthe Thesis Supervisor and the guidance of the thesis advisory Committee.
ANAT,698D1,M.Sc. Thesis Research 1.,1,,,,Anatomy and Cell Biology (Graduate Studies),Independent research work under the direction ofthe Thesis Supervisor and the guidance of the thesis advisory Committee.
ANAT,698D2,M.Sc. Thesis Research 1.,1,,ANAT 698,,Anatomy and Cell Biology (Graduate Studies),Independent research work under the direction ofthe Thesis Supervisor and the guidance of the thesis advisory Committee.
ANAT,701,Ph.D. Comprehensive Examination.,0,Fall 2025; Winter 2026,,,Anatomy and Cell Biology (Graduate Studies),Compulsory comprehensive examination to evaluate the students' ability to carry out; present; discuss and defend research in their field of scientific interest.
ANAT,701D1,Ph.D. Comprehensive Examination.,0,,,,Anatomy and Cell Biology (Graduate Studies),Compulsory comprehensive examination to evaluate the students' ability to carry out; present; discuss and defend research in their field of scientific interest.
ANAT,701D2,Ph.D. Comprehensive Examination.,0,,ANAT 701,,Anatomy and Cell Biology (Graduate Studies),Compulsory comprehensive examination to evaluate the students' ability to carry out; present; discuss and defend research in their field of scientific interest.
ANSC,600,Advanced Eukaryotic Cells and Viruses.,3,Winter 2026,,ANSC 400,Animal Science (Graduate Studies),Underlying molecular basis for various methodologies in molecular biology; including the genetic basis for viral infections and tumorigenesis; and the use of molecular genetic approaches to address biological problems.
ANSC,604,Advanced Animal Biotechnology.,3,Fall 2025,,ANSC 420;ANSC 506,Animal Science (Graduate Studies),New concepts and applications of animal biotechnology in agriculture; biomedicine; environmental preservation.
