Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
BUS1,532,Bankruptcy and Insolvency.,3,,,BUS1 432,Law (Faculty of Law),Federal bankruptcy law; including bankruptcy petitions; an individual's rights to a discharge; the nature of claims provable in bankruptcy; the rejection and assumption of executory contracts; the stay of proceedings and the avoidance powers of trustees and receiverships and workouts as alternatives to bankruptcy proceedings.
BUS2,365,Business Associations.,4,Summer 2025; Fall 2025; Winter 2026,,,Law (Faculty of Law),An introduction to agency or mandate; partnership and co-operatives. The nature of corporate personality; the two systems of incorporation; constitutional problems; the raising and maintenance of a company's capital; the organs of the company; and protection of investors and minority shareholders.
BUS2,501,Patent Theory and Policy.,3,,BUS2 463,,Law (Faculty of Law),Examination and critical assessment of the justifications of patent law; the tension between the public domain and private monopoly control; examination of international patent protection; international conventions touching on patent law; international trade instruments; examination of patents in relation to new technology: biotechnology; the Internet and business methods.
BUS2,502,Intellectual and Industrial Property.,3,Winter 2026,,BUS2 463,Law (Faculty of Law),An examination of private relationships involving inventive and creative activity through an analysis of various conceptions of intellectual property regimes; in the context of public governance of public space; as well as the interrelationship between international and national law.
BUS2,503,Business Organizations.,3,,,BUS2 367,Law (Faculty of Law),A treatment of specialized topics in the law of business organizations.
BUS2,504,Securities Regulation.,3,Winter 2026,,BUS2 372,Law (Faculty of Law),An introduction to the structure of Canada's capital markets and a review of major features of securities regulation using the Quebec or Ontario scheme as background. An examination of the general regulatory framework for licensing of securities professionals; disclosure to investors and enforcement powers of regulators.
BUS2,505,Corporate Finance.,3,Fall 2025,,BUS2 464,Law (Faculty of Law),Advanced issues in business and corporate law. Principles underlying decisions about a corporation's capital structure. Distinctive aspects and rights of corporate securities; including common shares; preferred shares.
BUS2,506,Corporate Governance,3,,,LAWG 539,Law (Faculty of Law),The law of corporate governance. Examination of central questions of governance; including several key debates: shareholder and stakeholder theory; shareholder democracy; and especially diversity in corporate governance. Voluntary and mandated diversity measures in Canada; the United States; Europe; and elsewhere. How social science has influenced regulation.
BUS2,531,Banking Law.,3,Fall 2025,,,Law (Faculty of Law),Legal relationships between banks and the people who deal with banks in connection with the settlement of transactions by way of paper instruments and electronic means; including wire transfers; debit and credit cards; cheques; trade bills and letters of credit.
BUS2,561,Insurance.,3,,,BUS2 461,Law (Faculty of Law),The general principles of the insurance contract under the law of Quebec; with reference to the Ontario Insurance Act and the insurance acts of other common law provinces. This course provides an opportunity for immersion in the culture; epistemology and practices of the Civil Law Tradition.
CMPL,500,Indigenous Peoples and the State.,3,Winter 2026,,,Law (Faculty of Law),Current legal topics relating to Indigenous peoples; including the concept of Indigenous title; and constitutional aspects of contemporary land claims. Aspects of Canadian law relating to Indigenous peoples; their constitutional status; and hunting and fishing rights.
CMPL,501,Jurisprudence.,3,Fall 2025,,,Law (Faculty of Law),The main schools of jurisprudence and the most significant writings; particularly contemporary writings; in legal philosophy.
CMPL,502,Canon Law.,3,Fall 2025,,,Law (Faculty of Law),History; sources and methods of interpretation of canon law; its influence on secular legal traditions; its codification; and its contemporary relevance.
CMPL,504,Feminist Legal Theory.,3,,,,Law (Faculty of Law),Feminist theory and its relevance and application to law; including feminist methodologies in law; the public versus private dichotomy; and changing conceptions of equality.
CMPL,506,Legal Theory.,3,Winter 2026,,,Law (Faculty of Law),The philosophical basis of private law; from a comparative and historical perspective.
CMPL,511,Social Diversity and Law.,3,,,,Law (Faculty of Law),The interaction of law and cultural diversity. Through the use of a number of case studies; we will examine: 1. The empirical effect of cultural diversity on legal systems. 2. Institutional structures to accommodate diversity. 3. Theoretical perspectives.
CMPL,512,Theories of Justice.,3,,,,Law (Faculty of Law),The concept of political justice and its relationship to particular legal and economic institutions; including the moral foundations of theories of justice; the nature of legitimate political authority; and the nature of distributive justice.
CMPL,513,Talmudic Law.,3,Winter 2026,,,Law (Faculty of Law),Historical sources of Talmudic law; methods of interpretation; selected topics; and relation to various secular legal traditions.
