Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
ACCT,351,Intermediate Financial Accounting 1.,3,Summer 2025; Fall 2025; Winter 2026,MGCR 211,,Management (Desautels Faculty Management),An examination of the theoretical foundation for financial reporting and revenue recognition. The tools of accounting; including a review of the accounting process and compound interest concepts. Asset recognition; measurement and disclosure. Partnership accounting.
ACCT,352,Intermediate Financial Accounting 2.,3,Fall 2025; Winter 2026,ACCT 351;MGCR 341,,Management (Desautels Faculty Management),A continuation of Intermediate Financial Accounting 1. An examination of liability recognition; measurement and disclosure; including leases; pension costs and corporate income tax. Shareholders' equity; dilutive securities and earnings per share. The statement of changes in financial position; basic financial statement analysis and full disclosure in financial reporting.
ACCT,354,Financial Statement Analysis.,3,Fall 2025; Winter 2026,MGCR 211;MGCR 341,,Management (Desautels Faculty Management),Interpretative nature of the conceptual framework underlying a multitude of financial reporting standards; including the impact of alternative accounting methods; management biases and stakeholder interests in the analysis and valuation of the firm.
ACCT,361,Management Accounting.,3,Fall 2025; Winter 2026,MGCR 211,,Management (Desautels Faculty Management),The role of management accounting information to support internal management decisions and to provide performance incentives.
ACCT,362,Cost Accounting.,3,Fall 2025; Winter 2026,ACCT 361,,Management (Desautels Faculty Management),An examination of a number of recurring issues in the area of decision-making and control; including cost allocation; alternative costing systems; and innovations in costing and performance measurement.
ACCT,385,Principles of Taxation.,3,Fall 2025; Winter 2026,MGCR 211,,Management (Desautels Faculty Management),An introduction to the concepts underlying the Canadian tax system and how they are applied in relation to the taxation of individuals and businesses.
ACCT,401,Sustainability and Environmental Accounting.,3,Winter 2026,MGCR 211,,Management (Desautels Faculty Management),Developing measures of corporate environmental performance; assessing their reliability and reporting to external stakeholders. Using sustainability metrics in strategic and operational business decisions. Implementing and utilizing Environmental management systems and standards. Managing corporate environmental risks and accounting for environmental costs. Environmental auditing. 
ACCT,434,Topics in Accounting 1.,3,,MGCR 211,,Management (Desautels Faculty Management),Topics will be selected from current issues in the Accounting Area.
ACCT,451,Data Analytics in Capital Market.,3,Winter 2026,MGCR 211;MGCR 341,,Management (Desautels Faculty Management),Exploration of how financial and non-financial metrics can be linked to business performance through experiential learning; with a focus on financial statement analysis; earnings and return predictability; textural analysis; earnings management and fraud detection. Introduction to SAS software and financial accounting databases such as CRSP; Compustat; and I/B/E/S; and alternative data sources such as SEC Edgar that enables work across different database to make better financial statement  analysis and decisions.
ACCT,452,Financial Reporting Valuation.,3,Winter 2026,MGCR 211;MGCR 341,,Management (Desautels Faculty Management),Models to determine firm value from accounting information and a broader perspective on key sources of information; key value drivers; in a setting where evaluating firm value is the ultimate purpose.
