Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
ANAE,301,TCP Anesthesia.,2,Summer 2025; Winter 2026,,,Anaesthesia (Faculty of Medicine & Hlth Sci),This two-week required course exposes students to Anesthesia through lectures; simulated activities and supervised participation in perioperative patient care. Learning experiences relate to the basics of resuscitation; pain management; and preoperative; intraoperative; and postoperative anesthesia care. Students will demonstrate understanding of clinical applications of pharmacology and physiology.
ELEC,200,Global and Public Health Pre-Clerkship Elective.,0,,,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),The global and public health pre-clerkship elective course offers pre-clerkship medical students the opportunity to gain experience in Global and Public Health. Students will learn about Global Health and/or Public Health through structured community-based projects and activities locally; provincially; nationally or abroad. This includes; but is not limited to; IFMSA-Quebec exchanges; CFMS exchanges; and INcommunity experiences.
ELEC,300,Elective.,4,,,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Pre-Clerkship four (4) week rotations.
ELEC,400,Elective 1 Clerkship.,4,,,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Four (4) week clinical rotations.
ELEC,400D1,Elective 1 Clerkship.,2,,,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Four (4) week clinical rotations.
ELEC,400D2,Elective 1 Clerkship.,2,,ELEC 400,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Four (4) week clinical rotations.
ELEC,401,Elective 2 Clerkship.,3,,,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Four (4) week clinical rotations.
ELEC,402,Elective 3 Clerkship.,3,,,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Four (4) week clinical rotations.
ELEC,403,Elective 4 Clerkship.,3,,ELEC 400,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Four (4) week clinical rotations.
ELEC,404,Elective 5 Clerkship.,3,,ELEC 400,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Three (3) week clinical elective course.
ELEC,405,Elective 5,3,,ELEC 400,,Medicine and Health Sciences (Faculty of Medicine & Hlth Sci),Four (4) week clinical rotations.
EPIB,507,Biostats for Health Sciences.,3,Summer 2025; Fall 2025,,,Epidemiology and Biostatistics (Faculty of Medicine & Hlth Sci),Basic principles of statistical inference applicable to clinical; epidemiologic; and other health research. Topics include: methods of describing data; statistical inference for means; statistical inference for proportions; non-parametric statistics; correlation and introduction to linear regression.
