Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
AAAA,100,Academic Integrity Tutorial,0,Fall 2025; Winter 2026,,,Student Services (No College Designated),
CENG,225,Ore Reserve Risk and Mine Planning.,3,Fac Partner & Summer Studies (School of Continuing Studies),,,,Methods to build up to the presentation of a new generation of applied technologies (stochastic mine planning optimization) dealing with geological risk and its substantial effects on ore reserves; strategic planning; optimization; risk management and profitability.
CHSS,202,Regulatory Mechanisms of International Organizations.,3,Fac Partner & Summer Studies (School of Continuing Studies),,,,Regulatory mechanisms of international organizations (IOs) and their impact on global governance; challenges of global policy-making; regulatory mechanisms for overcoming these challenges; growing role of non-state actors (civil society groups and business leaders) in global policy-making; analysis of governance of the use of force; other international governance issues; climate change negotiation simulation.
EXTL,DPBO,DualDegree/Partner Bordeaux,0,,,,Artificial Course (GDEU) (Graduate Studies),
EXTL,DPUE,DualDegree/Partner UEST China.,0,,,,Artificial Course (GDEU) (Graduate Studies),
EXTL,EXGR,Exchnge Term Away-Grad Studies,0,,,,Artificial Course (GDEU) (Graduate Studies),
EXTL,GLEN,Away at CentraleSupélec,0,,,,Artificial Course (not GDEU) (Faculty of Engineering),
EXTL,IUBI,Inter-Univ Transfer-Bishop's,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUCO,Inter-Univ Transfer-Concordia,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUEP,Inter-Univ Transfer-Poly,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUET,Inter-Univ Transfer-ETS,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUGR,Inter-University Transfer,0,,,,Artificial Course (GDEU) (Graduate Studies),
EXTL,IUHC,Inter-Univ Transfer-HEC,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUIN,Inter-Univ Transfer-INRS,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IULV,Inter-Univ Transfer-ULaval,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUMT,Inter-Univ Transfer-UdeM,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUNA,Inter-Univ Transfer-ENAP,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUQA,Inter-Univ Transfer-UQAT,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUQC,Inter-Univ Transfer-UQAC,0,,,,Artificial Course (GDEU) (No College Designated),
EXTL,IUQO,Inter-Univ Transfer-UQO,0,,,,Artificial Course (GDEU) (No College Designated),
