Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
EXTL,EXMU,Exchange Term Away-Music,0,Fall 2025; Winter 2026,,,Music (Schulich School of Music),
EXTL,IUMU,Inter-University Transfer,0,Fall 2025; Winter 2026,,,Music (Schulich School of Music),
EXTL,LAMU,Leave of Absence-Music,0,Fall 2025; Winter 2026,,,Music (Schulich School of Music),
EXTL,TAMU,Term Away-Music,0,Fall 2025; Winter 2026,,,Music (Schulich School of Music),
MUCO,230,The Art of Composition.,3,,MUSP 141;MUTH 151,,Music Research (Schulich School of Music),An introduction to compositional techniques and notational practices of the twentieth and twenty-first centuries; including the analysis of selected works.
MUCO,241,Tonal Composition 1A.,3,Fall 2025,MUSP 140;MUTH 151,,Music Research (Schulich School of Music),A writing course based upon the stylistic concepts and resources of European music (Classical to late-Romantic styles); designed to develop control of factors such as phrase structure; melodic shape; rhythm; linear continuity; economy of means; and basic contrapuntal procedures. Extensive analysis of characteristic forms.
MUCO,242,Tonal Composition 1B.,3,,MUCO 241,,Music Research (Schulich School of Music),An advanced writing course based upon the stylistic concepts and resources of European music (Classical to late-Romantic styles); designed to develop control of factors such as phrase structure; melodic shape; rhythm; linear continuity; economy of means; and basic contrapuntal procedures. Extensive analysis of characteristic forms.
MUCO,245,Composition 1A.,2,Fall 2025,MUSP 141;MUTH 150,MUCO 245,Music Research (Schulich School of Music),20th- and 21st-century techniques and approaches. Basic parameters such as pitch; rhythm and timbre; and their inter-relationship at all structural levels. Notation and score preparation. Performance practice. Analysis of selected 20th- and 21st-century scores. Writing of short pieces for solo instruments and small ensembles; including voice.
MUCO,246,Composition 1B.,3,Winter 2026,MUCO 245,MUCO 245,Music Research (Schulich School of Music),More advanced 20th- and 21st-century techniques and approaches. Basic parameters such as pitch; rhythm and timbre; and their inter-relationship at all structural levels. Notation and score preparation. Performance practice. Analysis of selected 20th- and 21st-century scores. Writing of short pieces for solo instruments and small ensembles; including voice.
MUCO,260,Instruments of the Orchestra.,3,Winter 2026,MUJZ 160;MUTH 150;MUTH 111,,Music Research (Schulich School of Music),An introductory study of the instruments of string; woodwind and brass families; elementary acoustics of the instruments. Techniques of playing including embouchure; fingering; bowing; hand-stopping; transposing instruments. Evolution of the instruments; their technique and their music from the 18th century to the present.
MUCO,261,Orchestration 1.,3,Fall 2025,MUSP 140;MUTH 150,,Music Research (Schulich School of Music),Study of the instruments of the western orchestra; including performance techniques; used in different combinations. Score reading and notation. Analysis of excerpts of the repertoire from the point of view of instrumental writing and timbral combination. Reduction of orchestral scores for piano; scoring and transcription of piano works for different ensembles. Instruments studied: strings; harp; woodwinds; standard keyboards. Orchestration: scoring for string quartet; string ensembles; woodwind quintet and ensembles; small orchestra.
