Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
ANAT,212,Molecular Mechanisms of Cell Function.,3,Winter 2026,BIOL 200,BIOC 212;BIOC 212;BIOL 201,Anatomy and Cell Biology (Faculty of Science),An introductory course describing the biochemistry and molecular biology of selected key functions of animal cells; including: gene expression; mitochondrial production of metabolic energy; cellular communication with the extra-cellular environment; and regulation of cell division.
ANAT,214,Systemic Human Anatomy.,3,Fall 2025,BIOL 112;PHGY 209;PHGY 210,,Anatomy and Cell Biology (Faculty of Science),Introduction to the gross anatomy of the various organ systems of head; neck and trunk regions of the human body. Emphasis on functional anatomy. Laboratory component includes exploration of the human body through cadaveric prosections; imaging and other materials.
ANAT,261,Introduction to Dynamic Histology.,4,Fall 2025,BIOL 112,,Anatomy and Cell Biology (Faculty of Science),An introduction to light and electron microscopic anatomy in which cell and tissue dynamics will be explored in the principal tissues and organs of the body.
ANAT,262,Introductory Molecular and Cell Biology.,3,Winter 2026,,,Anatomy and Cell Biology (Faculty of Science),The architectural; functional and temporal continuity of organelles and the cytoskeleton of mammalian cells is introduced as well as their functional integration in the phenomena of exocytosis; endocytosis; protein trafficking and cell motility and adhesion.
ANAT,314,Human Musculoskeletal Anatomy .,3,Winter 2026,ANAT 214,ANAT 315,Anatomy and Cell Biology (Faculty of Science),Introduction to the gross anatomy of the musculoskeletal system (bone; joints; muscles and neurovascular structures) of the head; neck; trunk; upper and lower limb regions of the human body; emphasizing functional anatomy and including surface anatomy and imaging. Exploration of the human body through cadaveric prosections; imaging and other materials.
ANAT,315,Clinical Human Musculoskeletal Anatomy.,3,Fall 2025,,ANAT 314,Anatomy and Cell Biology (Faculty of Science),The regional human gross anatomy of the skeleton; joints; muscles and neurovascular structures of the body as it relates to physical and occupational therapists. Laboratories include the study of prepared cadaveric specimens and the completion of a cadaveric-dissection.
ANAT,316,Clinical Human Visceral Anatomy .,3,Winter 2026,ANAT 315,ANAT 214,Anatomy and Cell Biology (Faculty of Science),The gross anatomy of the various organ systems of the human body; with emphasis on those aspects of greatest relevance to physical and occupational therapists. Laboratories include the study of prepared specimens. 
ANAT,321,Circuitry of the Human Brain.,3,Fall 2025,ANAT/BIO;BIOL 201;NSCI 200;PHGY 209;PSYC 211,,Anatomy and Cell Biology (Faculty of Science),This course explores the functional organization of the human brain and spinal cord. The course focuses on how neuronal systems are designed to subserve specific motor; sensory; and cognitive operations.
ANAT,322,Neuroendocrinology.,3,Winter 2026,PHGY 210,,Anatomy and Cell Biology (Faculty of Science),A lecture course describing brain-endocrine relationships. Emphasis on modern experimental evidence and conceptual developments within the field.
ANAT,323,Clinical Neuroanatomy.,3,Fall 2025,ANAT 214;ANAT 314,,Anatomy and Cell Biology (Faculty of Science),This course will focus on the structural and functional relationships of the central nervous system. The human neuroanatomy will be introduced via pathological cases and will be illustrated by use of new medical imaging techniques.
ANAT,365,Cellular Trafficking.,3,Fall 2025,ANAT 261;ANAT 262;PHGY 209,,Anatomy and Cell Biology (Faculty of Science),This course explores the fundamental mechanisms that govern the organizations of intracellular membranes; how vesicle generation is signaled; how the membranes curve and bud; and how vesicles know where to go and fuse. In addition to intracellular vesicles; the principles of mitochondrial dynamics and process of cellular autophagy are examined. Also; there is a focus on "Applied Cell Biology"; with respect to how the exquisite regulation of cellular transport plays a central role in complex biological systems. A series of modules will take students through the mechanisms of cellular polarity; neurotransmission; metabolic cell biology; pathogen invasion; and more. The emphasis is on the morphological aspects of the processes; and on the major techniques that led to discovery.
ANAT,381,Experimental Embryology.,3,Fall 2025,ANAT 261;BIOL 202,BIOL 303,Anatomy and Cell Biology (Faculty of Science),The basic processes of reproduction and embryonic development; such as molecular signaling; cell-cell interaction; differentiation; cell fate determination; genetic and epigenetic control of embryonic development.
ANAT,396,Undergraduate Research Project.,3,Summer 2025; Fall 2025; Winter 2026,,,Anatomy and Cell Biology (Faculty of Science),Independent research project with a final written report.
ANAT,416,Development; Disease and Regeneration.,3,Winter 2026,ANAT 381;BIOL 303,,Anatomy and Cell Biology (Faculty of Science),Importance of developmental biology for disease and regeneration. Topics: advanced developmental biology principles; molecular basis for stem cells and their potential applications; organogenesis and its applications to various diseases.
ANAT,432,Honours Research Project.,9,Summer 2025,BIOL 301,,Anatomy and Cell Biology (Faculty of Science),Supervised honours research project in biological sciences.
ANAT,432D1,Honours Research Project.,4,Fall 2025,BIOL 301,,Anatomy and Cell Biology (Faculty of Science),Supervised honours research project in biological sciences.
ANAT,432D2,Honours Research Project.,4,Winter 2026,ANAT 432,,Anatomy and Cell Biology (Faculty of Science),See ANAT 432D1 for course description.
ANAT,458,Membranes and Cellular Signaling.,3,Winter 2026,ANAT 212;ANAT 262;ANAT 365;BIOC 212;BIOC 312;BIOC 311;BIOL 201;BIOL 205;PHGY 209,BIOC 458;BIOC 458,Anatomy and Cell Biology (Faculty of Science),An integrated treatment of the properties of biological membranes and of intracellular signaling; including the major role that membranes play in transducing and integrating cellular regulatory signals. Biological membrane organization and dynamics; membrane transport; membrane receptors and their associated effectors; mechanisms of regulation of cell growth; morphology; differentiation and death.
ANAT,499,Supervised Library Research.,1,Fall 2025; Winter 2026,ANAT 262;BIOL 202,,Anatomy and Cell Biology (Faculty of Science),Supervised exploration of the current scientific literature as it pertains to the advanced field of anatomy and cell biology.
ANAT,514,Advanced Human Anatomy Laboratory.,3,Winter 2026,ANAT 214;ANAT 314,,Anatomy and Cell Biology (Faculty of Science),A laboratory course exploring human anatomy education through regionally focused dissection-based projects and applications of technology in anatomy teaching and learning.
ANAT,541,Cell and Molecular Biology of Aging.,3,Winter 2026,ANAT 212;ANAT 261;ANAT 262;BIOC 212;BIOL 201,,Anatomy and Cell Biology (Faculty of Science),Complex aging process; including theories and mechanisms of aging; animal model systems used to study aging; age-dependent diseases; for example; Alzheimer's; osteoporosis; and cancer; and age-related diseases; for example; Werner's syndrome and dyskeratosis congenita.
ANAT,542,Transmission Electron Microscopy of Biological Samples.,3,Winter 2026,,,Anatomy and Cell Biology (Faculty of Science),Overview of theory; principles and practical applications of conventional and cryo-transmission electron microscopy relevant to biological samples. Major topics to be covered include: sample preparation and imaging; image analysis; three-dimensional reconstruction (including single-particle analysis an tomography).
ANAT,565,Diseases-Membrane Trafficking.,3,Winter 2026,ANAT 365,,Anatomy and Cell Biology (Faculty of Science),This course will examine how research into diseases has played a key role in unraveling the intricate molecular mechanisms controlling membrane trafficking in mammalian cells. Membrane trafficking disorders fall into two groups those arising from a) membrane-associated or b) cytoskeletal defect. Topics include a) mechanisms of endosomal maturation; lysosomal storage disorders and rab protein-mediated vesicular trafficking and b) rho GTPase and cytoskeletal binding protein mediated trafficking associated with neurological diseases and cancer.
ATOC,100,Extreme-Weather and Climate-Change Physics.,3,,PHYS 101,,Atmospheric & Oceanic Sciences (Faculty of Science),This course will provide an overview of extreme weather and climate phenomena; using calculus-based mathematical and physical principles. It will examine the physics and dynamics associated with extreme weather and climate phenomena; including blizzards; heat waves; cold waves; ice storms; tornadoes; and hurricanes. The atmospheric and oceanic observing system will be used to quantify the structure and mechanisms of extreme weather and climate events. The physics of climate change will be interpreted through the natural and anthropogenic changes to Earth's radiation and energy balances. An introduction to climate models (both simple and complex) will illustrate the concepts of forcing; feedbacks; and climate sensitivity; and provide the foundation for understanding future changes in extreme weather.
ATOC,181,Introduction to Atmospheric Science.,3,Fall 2025,,ATOC 210;ATOC 214;ENVB 301;NRSC 201,Atmospheric & Oceanic Sciences (Faculty of Science),A survey of the Earth's atmosphere; weather and climate system. Topics include the fundamental processes that determine interactions between the atmosphere; ocean and biosphere; anthropogenic effects such as global warming; the ozone hole and acid rain; a perspective on future climate change.
ATOC,182,Introduction to Oceanic Sciences.,3,Fall 2025,,,Atmospheric & Oceanic Sciences (Faculty of Science),An introduction to ocean sciences with particular emphasis on physical oceanography. Topics typically include seawater properties; sea ice; air-sea interaction; seafloor topography; large-scale ocean circulation; waves; tides; physical control of biological processes; the role of oceans in climate; and impact of human activities. 
ATOC,183,Climate and Climate Change.,3,Winter 2026,,ATOC 230,Atmospheric & Oceanic Sciences (Faculty of Science),The atmosphere; ocean and sea-ice distribution characteristic of the current climate; as seen through observational data and computer model results. Physics of naturally occurring variability on time scales of months to years; such as El Niño. Global circulation models of the atmosphere; ocean and coupled atmosphere-ocean system; and global warming simulations.
ATOC,184,Science of Storms.,3,Winter 2026,,ATOC 240;ATOC 214;ATOC 215,Atmospheric & Oceanic Sciences (Faculty of Science),Physical processes associated with severe and hazardous weather affecting the Earth. Topics are taught at a fundamental level; without equations; to provide a complete and up-to-date understanding of such extreme events as blizzards; ice storms; tornadoes; hurricanes; floods and droughts.
ATOC,185,Natural Disasters.,3,Fall 2025,,EPSC 185,Atmospheric & Oceanic Sciences (Faculty of Science),This course examines the science behind different types of disasters and our ability or inability to control and predict such events. From this course the student will gain an appreciation of natural disasters beyond the newspaper headlines and will better understand how the effects of disasters can be reduced.
ATOC,214,Introduction: Physics of the Atmosphere.,3,Fall 2025,PHYS 131;PHYS 142,,Atmospheric & Oceanic Sciences (Faculty of Science),An introduction to key physical processes operating in the atmosphere; designed for students in science and engineering. Topics typically include: composition of the atmosphere; vertical structure; heat transfer; solar and terrestrial radiation and Earth's energy balance; seasonal and daily temperature changes; humidity and the formation of clouds and precipitation; stability of tropospheric air layers; applications of adiabatic charts.
ATOC,215,Oceans; Weather and Climate.,3,Winter 2026,MATH 141,,Atmospheric & Oceanic Sciences (Faculty of Science),An introduction to key physical and dynamical processes in the oceans and atmosphere. Topics typically include air-sea-ice interactions; laws of motion; the geostrophic and thermal wind relations; general circulation of the atmosphere and oceans; weather; radiative balance; climate sensitivity and variability; role of the atmosphere and oceans in climate. 
ATOC,219,Introduction to Atmospheric Chemistry.,3,Winter 2026,CHEM 110;CHEM 120;MATH 139;MATH 140;MATH 150,ATOC 419;CHEM 219;CHEM 419,Atmospheric & Oceanic Sciences (Faculty of Science),An introduction to the basic topics in atmospheric chemistry. The fundamentals of the chemical composition of the atmosphere and its chemical reactions. Selected topics such as smog chamber; acid rain; and ozone hole will be examined.
ATOC,309,Weather Radars and Satellites.,3,Winter 2026,ATOC 215,,Atmospheric & Oceanic Sciences (Faculty of Science),Basic notions of radiative transfer and applications of satellite and radar data to mesoscale and synoptic-scale systems are discussed. Emphasis will be put on the contribution of remote sensing to atmospheric and oceanic sciences.
ATOC,312,Rotating Fluid Dynamics.,3,Fall 2025,MATH 314,,Atmospheric & Oceanic Sciences (Faculty of Science),Fundamentals of fluid motion on a rotating sphere: Rotating coordinate systems; the Lagrangian time derivative; and equations of motion. The geostrophic approximation and thermal wind balance; departures from geostrophy; such as frictional Ekman layers; inertial oscillations; and the gradient wind balance. The shallow water equations; including potential vorticity conservation; quasigeostrophy; and simple wave solutions.
ATOC,315,Thermodynamics and Convection.,3,Fall 2025,ATOC 214;MATH 222,,Atmospheric & Oceanic Sciences (Faculty of Science),Buoyancy; stability; and vertical oscillations. Dry and moist adiabatic processes. Resulting dry and precipitating convective circulations from the small scale to the global scale. Mesoscale precipitation systems from the cell to convective complexes. Severe convection; downbursts; mesocyclones.
ATOC,341,Caribbean Climate and Weather.,3,Fall 2025,,,Atmospheric & Oceanic Sciences (Faculty of Science),The climate system and ongoing global change; ocean and atmosphere circulation and future trends in the tropics; local climate variability and dynamics; extreme weather events in the Caribbean 
ATOC,357,Atmospheric and Oceanic Science Laboratory.,3,Winter 2026,ATOC 214,,Atmospheric & Oceanic Sciences (Faculty of Science),Students will gain hands-on experience in several fundamental atmospheric and oceanic science topics through practical experimentation.  A diverse set of experiments will be conducted; ranging from in situ observations in Montreal; to remote sensing of clouds and radiation; to laboratory chemistry and water-tank experiments. As a background for these experiments; students will receive training on sensor principles and measurement error analysis; as well as the fundamental physical processes of interest in each experiment.  They will learn to operate; and physically interpret data from; various sensors for in situ and remote observation of meteorological variables.  Their training will also extend to operational weather observations; analysis; and forecasting.
ATOC,373,Arctic Climate and Climate Change.,3,,ATOC 214;ATOC 215;ATOC 219;ENVR 200;ENVR 202;EPSC 203;EPSC 210;EPSC 212;EPSC 220;EPSC 233;GEOG 203;GEOG 205;GEOG 272;GEOG 372;SOIL 300,,Atmospheric & Oceanic Sciences (Faculty of Science),Introduction to the principles of Arctic climate and climate change with a special focus on the Canadian Arctic. The primary objectives of the course are to 1)develop an understanding of the presentday high latitude climate; including the atmosphere; the ocean and the sea ice; 2) develop an understanding of the role of the polar regions in the global climate and climate change; and 3) introduce students to field methods of polar research including ice coring; sea-ice buoys installation and data analysis; atmospheric measurements (radiative and turbulent heat fluxes); and ocean hydrographic measurements (e.g. CTD; nets).
ATOC,396,Undergraduate Research Project.,3,Summer 2025; Fall 2025; Winter 2026,,,Atmospheric & Oceanic Sciences (Faculty of Science),Independent research project with a final written report.
ATOC,404,Climate Physics.,3,Fall 2025,MATH 315;MATH 325;MATH 222;PHYS 230;PHYS 251;PHYS 232;PHYS 253,PHYS 404,Atmospheric & Oceanic Sciences (Faculty of Science),This course covers the essentials of climate physics through the lens of one-dimensional; vertical atmospheric models. This includes shortwave and longwave radiative transfer; convection; phase changes; clouds; greenhouse gases; and atmospheric escape. This is an adequate level of detail for understanding Earth's climate; paleoclimate; anthropogenic climate change; or pursuing studies of Solar System planets and extrasolar planets.
ATOC,473,Artic Field Research.,6,,,EPSC 473;GEOG 473,Atmospheric & Oceanic Sciences (Faculty of Science),This course is the independent research component of the McGill Arctic Field Study Semester. It has four distinct parts; a) problem identification and background preparation; b) research design and field data collection; c) lab and data analysis; and d) report preparation and presentation. The research design and field data collection will be part of an extended period of fieldwork based in the Canadian Arctic. The Lab and data analysis will begin in the field and finish on campus. Each student will prepare a manuscript style report and make a conference presentation based on their research.
ATOC,480,Honours Research Project.,3,Summer 2025; Fall 2025; Winter 2026,,,Atmospheric & Oceanic Sciences (Faculty of Science),The student will carry out a research project under the supervision of a member of the staff. The student will be expected to write a report and present a seminar on the work.
ATOC,512,Atmospheric and Oceanic Dynamics.,3,Fall 2025,MATH 314;MATH 315,,Atmospheric & Oceanic Sciences (Faculty of Science),Equations of motion used to study waves; turbulence; and the general circulation of the atmosphere and oceans. Standard approximations to these equations; including the Boussinesq; primitive; quasigeostrohic; and rotating shallow water equations. Emphasis is on effects for which rotation and/or buoyancy play essential roles. Simple classes of flow; e.g.; geostrophic; thermal wind; Ekman; and inertial oscillations. 
ATOC,513,Waves and Stability.,3,Winter 2026,MATH 314;MATH 315,,Atmospheric & Oceanic Sciences (Faculty of Science),Description of the principal wave types and instability mechanisms of geophysical fluid dynamics. Geostrophic adjustment; wave dispersion; the WKBJ approximation. Wave types considered include (internal) inertia-gravity waves; planetary Rossby waves; and the equatorial and coastal wave guides. Instabilities considered include inertial; symmetric; barotropic; baroclinic; and Kelvin-Helmholtz instability.
ATOC,515,Turbulence in Atmosphere and Oceans.,3,,ATOC 512;MATH 314;MATH 315,,Atmospheric & Oceanic Sciences (Faculty of Science),Application of statistical and semi-empirical methods to the study of geophysical turbulence. Reynolds' equations; dimensional analysis; and similarity. The surface and planetary boundary layers. Oceanic mixed layer. Theories of isotropic two- and three- dimensional turbulence: energy and enstrophy inertial ranges. Beta turbulence.
ATOC,517,Boundary Layer Meteorology .,3,Winter 2026,ATOC 312;ATOC 315;ATOC 512;MATH 314;MATH 315,,Atmospheric & Oceanic Sciences (Faculty of Science),Turbulence and turbulent fluxes; atmospheric stability; Monin-Obukhov similarity theory; surface roughness and surface fluxes; power law and logarithmic wind profiles including their application in wind energy and engineering sectors; convective and stably stratified boundary layers; internal boundary layer development; large-eddy simulations; fundamentals of boundary-layer parameterization in numerical models; and introduction to urban boundary layers. 
ATOC,519,Advances in Chemistry of Atmosphere.,3,Winter 2026,CHEM 213;CHEM 273;MATH 222;MATH 315,CHEM 519,Atmospheric & Oceanic Sciences (Faculty of Science),Exploration of the field of atmospheric chemistry that is identified as the significant driver of climate change and the cause of millions of premature death every year. Discussion of cutting-edge novel technologies for observing and quantifying pollutants (from ground to satellite) using artificial intelligence; the fate of emerging contaminants (e.g.; nano/microplastics; trace metals; persistent organic); and modelling of atmospheric and interfacial processes. Examination of topics like atmospheric gaseous and multiphase components like bioaerosols. Study of photochemical; photophysical; and aerosol nucleation processes that affect air quality; climate change; and ecosystem health. 
ATOC,521,Cloud Physics.,3,Fall 2025,ATOC 315;MATH 314;MATH 315,,Atmospheric & Oceanic Sciences (Faculty of Science),A detailed overview of the environmental factors and microphysical processes involved in the formation of clouds and precipitation. Topics typically include: cloud observations; atmospheric thermodynamics; environmental stability regimes; convection; the microphysics of the formation of cloud droplets and ice crystals; initiation of precipitation; aerosol–cloud interactions.
ATOC,525,Atmospheric Radiation.,3,Fall 2025,ATOC 315;MATH 314;MATH 315,ATOC 620,Atmospheric & Oceanic Sciences (Faculty of Science),Solar and terrestrial radiation. Interactions of molecules; aerosols; clouds; and precipitation with radiation of various wavelengths. Radiative transfer through the clear and cloudy atmosphere. Radiation budgets. Satellite and ground-based measurements. Climate implications.
ATOC,531,Dynamics of Current Climates.,3,Winter 2026,MATH 315,,Atmospheric & Oceanic Sciences (Faculty of Science),A detailed overview of the climate and the global energy balance. Topics typically include: energy balance at top of the atmosphere and at the surface; poleward energy flux; the role of clouds; climate and atmospheric/oceanic general circulations; natural variability of the climate system; evolution of climate and climate change.
ATOC,540,Synoptic Meteorology 1.,3,Fall 2025,MATH 314;MATH 315,,Atmospheric & Oceanic Sciences (Faculty of Science),Analysis of current meteorological data. Description of a geostrophic; hydrostatic atmosphere. Ageostrophic circulations and hydrostatic instabilities. Kinematic and thermodynamic methods of computing vertical motions. Tropical and extratropical condensation rates. Barotropic and equivalent barotropic atmospheres.
ATOC,541,Synoptic Meteorology 2.,3,Winter 2026,ATOC 312;ATOC 540,,Atmospheric & Oceanic Sciences (Faculty of Science),Analysis of current meteorological data. Quasi-geostrophic theory; including the omega equation; as it relates to extratropical cyclone and anticyclone development. Frontogenesis and frontal circulations in the lower and upper troposphere. Cumulus convection and its relationship to tropical and extratropical circulations. Diagnostic case study work.
ATOC,546,Current Weather Discussion.,1,,ATOC 540,,Atmospheric & Oceanic Sciences (Faculty of Science),Half-hour briefing on atmospheric general circulation and current weather around the world using satellite data; radar observations; conventional weather maps; and analyses and forecasts produced by computer techniques.
ATOC,551,Selected Topics 1.,3,,,ATOC or ,Atmospheric & Oceanic Sciences (Faculty of Science),Topics in atmospheric and oceanic sciences.
ATOC,552,Selected Topics 2.,3,,,ATOC or ,Atmospheric & Oceanic Sciences (Faculty of Science),Topics in atmospheric and oceanic sciences.
ATOC,555,Field Course 1.,3,,,,Atmospheric & Oceanic Sciences (Faculty of Science),Observing weather; climate and environmental chemistry in tropical Barbados. Emphasis on experiential learning. Field observations typically cover measurements of sea surface temperature; meteorological variables; and environmental chemical characteristics.
ATOC,556,Field Course 2.,3,,,ATOC or ,Atmospheric & Oceanic Sciences (Faculty of Science),Field studies in selected topics of the atmospheric and oceanic sciences.
ATOC,557,Research Methods: Atmospheric and Oceanic Science.,3,,COMP 208;MATH 315;MATH 323;MATH 324,,Atmospheric & Oceanic Sciences (Faculty of Science),The analysis of observational and modeling data; and the advantages and limitations of different data. Different analysis methods including regression; linear stochastic processes autocovariance and spectral analysis; principle component analysis; inverse problems and data assimilation; commonly used in the atmospheric and oceanic sciences.
ATOC,558,Numerical Methods and Laboratory.,3,Winter 2026,ATOC 312;ATOC 512,,Atmospheric & Oceanic Sciences (Faculty of Science),Numerical simulation of atmospheric and oceanic processes. Finite difference; finite element; and spectral modelling techniques. Term project including computer modelling of convection or large-scale flows in the atmosphere or ocean.
ATOC,568,Ocean Physics.,3,Fall 2025,ATOC 512,,Atmospheric & Oceanic Sciences (Faculty of Science),Major topics in physics and dynamics of the ocean including seawater properties; density and equation of state; sea ice; air-sea-ice exchanges; mixing and stability in the ocean; wind-driven and thermohaline circulations. Observational techniques and numerical models of the ocean; which include some data analysis and literature review.
BIOC,212,Molecular Mechanisms of Cell Function.,3,Winter 2026,BIOL 200,ANAT 212;BIOC 311;BIOC 312;BIOL 201,Biochemistry (Faculty of Science),An introductory course describing the biochemistry and molecular biology of selected key functions of animal cells; including: gene expression; mitochondrial production of metabolic energy; cellular communication with the extra-cellular environment; and regulation of cell division.
BIOC,220,Laboratory Methods in Biochemistry and Molecular Biology 1.,3,Winter 2026,BIOL 200,BIOL 301,Biochemistry (Faculty of Science),Introduction to key methodologies for the isolation; detection and characterization of proteins; lipids; nucleic acids and subcellular fractions; including spectrophotometry; assays of enzymatic activities and chromatographic and electrophoretic methods. Analysis of biochemical data.
BIOC,311,Metabolic Biochemistry.,3,Fall 2025,BIOC 212;BIOL 200;BIOL 201;CHEM 222;CHEM 234,,Biochemistry (Faculty of Science),The generation of metabolic energy in higher organisms with an emphasis on its regulation at the molecular; cellular and organ level. Chemical concepts and mechanisms of enzymatic catalysis are also emphasized. Included: selected topics in carbohydrate; lipid and nitrogen metabolism; complex lipids and biological membranes; hormonal signal transduction.
