Academic Unit,Course Number,Course Title,Credits,Semester,Prerequisites,Restrictions,Offered By,Description
AAAA,100,Academic Integrity Tutorial,0,Fall 2025; Winter 2026,,,Student Services (No College Designated),
ACCT,351,Intermediate Financial Accounting 1.,3,Summer 2025; Fall 2025; Winter 2026,MGCR 211,,Management (Desautels Faculty Management),An examination of the theoretical foundation for financial reporting and revenue recognition. The tools of accounting; including a review of the accounting process and compound interest concepts. Asset recognition; measurement and disclosure. Partnership accounting.
ACCT,352,Intermediate Financial Accounting 2.,3,Fall 2025; Winter 2026,ACCT 351;MGCR 341,,Management (Desautels Faculty Management),A continuation of Intermediate Financial Accounting 1. An examination of liability recognition; measurement and disclosure; including leases; pension costs and corporate income tax. Shareholders' equity; dilutive securities and earnings per share. The statement of changes in financial position; basic financial statement analysis and full disclosure in financial reporting.
ACCT,354,Financial Statement Analysis.,3,Fall 2025; Winter 2026,MGCR 211;MGCR 341,,Management (Desautels Faculty Management),Interpretative nature of the conceptual framework underlying a multitude of financial reporting standards; including the impact of alternative accounting methods; management biases and stakeholder interests in the analysis and valuation of the firm.
ACCT,361,Management Accounting.,3,Fall 2025; Winter 2026,MGCR 211,,Management (Desautels Faculty Management),The role of management accounting information to support internal management decisions and to provide performance incentives.
ACCT,362,Cost Accounting.,3,Fall 2025; Winter 2026,ACCT 361,,Management (Desautels Faculty Management),An examination of a number of recurring issues in the area of decision-making and control; including cost allocation; alternative costing systems; and innovations in costing and performance measurement.
ACCT,385,Principles of Taxation.,3,Fall 2025; Winter 2026,MGCR 211,,Management (Desautels Faculty Management),An introduction to the concepts underlying the Canadian tax system and how they are applied in relation to the taxation of individuals and businesses.
ACCT,401,Sustainability and Environmental Accounting.,3,Winter 2026,MGCR 211,,Management (Desautels Faculty Management),Developing measures of corporate environmental performance; assessing their reliability and reporting to external stakeholders. Using sustainability metrics in strategic and operational business decisions. Implementing and utilizing Environmental management systems and standards. Managing corporate environmental risks and accounting for environmental costs. Environmental auditing. 
ACCT,434,Topics in Accounting 1.,3,,MGCR 211,,Management (Desautels Faculty Management),Topics will be selected from current issues in the Accounting Area.
ACCT,451,Data Analytics in Capital Market.,3,Winter 2026,MGCR 211;MGCR 341,,Management (Desautels Faculty Management),Exploration of how financial and non-financial metrics can be linked to business performance through experiential learning; with a focus on financial statement analysis; earnings and return predictability; textural analysis; earnings management and fraud detection. Introduction to SAS software and financial accounting databases such as CRSP; Compustat; and I/B/E/S; and alternative data sources such as SEC Edgar that enables work across different database to make better financial statement  analysis and decisions.
ACCT,452,Financial Reporting Valuation.,3,Winter 2026,MGCR 211;MGCR 341,,Management (Desautels Faculty Management),Models to determine firm value from accounting information and a broader perspective on key sources of information; key value drivers; in a setting where evaluating firm value is the ultimate purpose.
ACCT,453,Advanced Financial Accounting.,3,Fall 2025; Winter 2026,ACCT 352,,Management (Desautels Faculty Management),Reporting relevant financial information subsequent to long term intercorporate investments. The preparation of consolidated financial statements with emphasis on their economic substance rather than legal form.
ACCT,455,Development of Accounting Thought.,3,Fall 2025; Winter 2026,ACCT 352,,Management (Desautels Faculty Management),The conceptual underpinning of accounting thought; including its historical development and the modifications that have occurred over time. A review of accounting literature and its relevance to practice.
ACCT,463,Management Control.,3,Fall 2025; Winter 2026,ACCT 361,,Management (Desautels Faculty Management),The theoretical frameworks for the examination and evaluation of management accounting and control systems. The technical aspects of accounting along with behavioural issues of management control.
ACCT,475,Principles of Auditing.,3,Fall 2025; Winter 2026,ACCT 352,,Management (Desautels Faculty Management),An introduction to basic auditing concepts and internal controls of an accounting system. Topics include current auditing standards; ethical conduct; legal liability; planning of an audit; sampling techniques; non-audit engagements; the study and evaluation of internal controls in an accounting system.
ACCT,486,Business Taxation 2.,3,Fall 2025; Winter 2026,ACCT 385,,Management (Desautels Faculty Management),A study of the Income Tax Act as it applies to the taxation of individuals and corporations; including capital cost allowances; capital gains; corporate reorganisations; trusts and partnerships and administrative regulations. A review of consumption taxes.
ACCT,604,Financial Statements 1.,3,Summer 2025,FINE 673,,Management (Graduate Studies),Introduction to financial accounting; including the objectives of financial statement analysis. Discussion of the limitations of the financial information used in financial statement analysis.
ACCT,605,Financial Statements 2.,3,,ACCT 604,,Management (Graduate Studies),The company valuation process. Establish frameworks using public data.
ACCT,618,Financial Reporting: Structure and Analysis.,3,Winter 2026,,,Management (Graduate Studies),An in-depth analysis of corporate financial reporting principles and practices; with emphasis on developing the abilities of the student to discriminate between the form and substance of corporate financial reports. Analysis of all components of the financial statements with the effect of reference to alternative practices on financial reports.
ACCT,623,Intermediate Financial Reporting 2.,3,,ACCT 622,,Management (Graduate Studies),Theoretical foundation for financial reporting concepts such as liability and equity measurement; intercorporate investments.
ACCT,626,Data Analytics in Accounting.,1,Winter 2026,INSY 660;INSY 662;MGSC 660;MGSC 661,,Management (Graduate Studies),Exploration of how financial and non-financial metrics can be linked to business performance through practica application learning. Examination of mandatory and voluntary corporate disclosure; financial statement analysis; return predictability; and fraud detection.
ACCT,645,Financial Management in Healthcare.,2,,,,Management (Graduate Studies),Concepts of financial accounting to the non-accountant user of financial information. Fundamental knowledge of financial accounting; including financial statements; accounting “rules”; assets; liabilities and equity; the income statements as well as the financial statement analysis. 
ACCT,645D1,Financial Management in Healthcare.,1,Winter 2026,,,Management (Graduate Studies),Concepts of financial accounting to the non-accountant user of financial information. Fundamental knowledge of financial accounting; including financial statements; accounting “rules”; assets; liabilities and equity; the income statements as well as the financial statement analysis. 
ACCT,645D2,Financial Management in Healthcare.,1,Summer 2025,ACCT 645,,Management (Graduate Studies),For description see ACCT 645D1.
ACCT,653,Issues in Professional Accounting 1.,3,Summer 2025,,,Management (Graduate Studies),How fundamental concepts in financial accounting and reporting; including technically complex accounting issues and their audit; performance management; tax and finance implications; are integrated into decision-making.
ACCT,654,Issues in Professional Accounting 2.,3,Summer 2025,,,Management (Graduate Studies),Fundamental concepts in financial accounting and reporting; including technically complex accounting issues and their audit; performance management; tax and finance implications; are integrated into decision-making and strategies through case scenarios.
ACCT,663,Strategic Aspects of Accounting 1.,3,Summer 2025,,,Management (Graduate Studies),Corporate governance; strategy; risk management; and management reporting needs; with a particular emphasis on their integration with accounting practice; finance and taxation.  Formulating deliberate and emergent strategies; and translating those strategies into specific objectives and actions which are used in decision-making.
ACCT,664,Strategic Aspects of Accounting 2.,3,Summer 2025,,,Management (Graduate Studies),Corporate governance; strategy; risk management; and management reporting needs; with a particular emphasis on their integration with accounting practice; finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.
ACCT,683,Practice of Taxation.,3,Fall 2025,ACCT 653;ACCT 654;ACCT 663;ACCT 664,,Management (Graduate Studies),Providing taxation services and guidance; including assisting individual and corporate entities to minimize taxes and meet their objectives while complying with tax laws and regulations.  Addressing compliance and tax-planning issues for both individuals and corporate entities; as well as; to a lesser extent; partnerships and trusts. Recognizing the interrelationship between financial reporting decisions and taxation; and the importance of taking taxes into account when making business and investment decisions.
ACCT,687,Assurance Services.,3,Fall 2025,ACCT 653;ACCT 654;ACCT 663;ACCT 664,,Management (Graduate Studies),Performing both internal audit projects and external assurance engagements; from understanding how governance plays a key role; assessing the need for an engagement; to developing and performing the procedures; through to documenting and reporting results. 
ACCT,689,Financial Business Analysis.,3,,ACCT 653;ACCT 654;ACCT 663;ACCT 664,,Management (Graduate Studies),Developing overall finance policies and identifying; analyzing; evaluating; and recommending investment and financing decisions.  Applying appropriate finance principles and conceptual approaches to determine appropriate courses of action.  Providing finance-related services for an entity; either individually or as part of a larger team; understanding when the advice of a finance specialist is required; and understanding and communicating with other finance professionals.
ACCT,690,Advanced Topics in Accounting 1.,3,,,,Management (Graduate Studies),A learning cell in which one or more students work with a faculty member.
ACCT,695,Integrative Analysis.,4,Summer 2025,ACCT 683;ACCT 685;ACCT 687;ACCT 689,,Management (Graduate Studies),Integration of the enabling competencies and the six technical competency areas required of a CPA. Developing strategic leadership capabilities and the ability to bring an integrative perspective to decision-making including: professional and ethical behaviour; problem-solving and decision-making; communication (both written and oral); self-management; teamwork and leadership.
ACCT,696,Advanced Topics in Accounting Analytics.,1,,INSY 660;INSY 662;MGSC 660;MGSC 661,,Management (Graduate Studies),Current emerging topics in accounting analytics. Course content will vary each term.
ACCT,699,Exam Preparation Seminar.,8,Summer 2025,ACCT 683;ACCT 685;ACCT 687;ACCT 689,,Management (Graduate Studies),Using complex and highly integrative cases that simulate real-life business issues to apply the technical and enabling competencies acquired throughout the CPA certification program. Practicing developing responses to business simulations and communicating a well-structured response.
ACCT,705,Seminar in Accounting 1,3,Winter 2026,,,Management (Graduate Studies),Seminar in Accounting.
ACCT,706,Research Design in Accounting.,3,Fall 2025,,,Management (Graduate Studies),Course is designed in two parts. The first part covers major research design issues relevant to all fields of accounting. The second part addresses critical methodological issues specific to various fields of accounting research.
ACCT,707,Accountability and Sustainability.,3,,,,Management (Graduate Studies),The course provides an overview of key research on the broader role of accounting and accountability in shaping sustainable organizational and societal practices.  The course focuses on most recent theoretical and empirical advances in two rapidly growing interrelated fields of research: environmental accounting and social accounting.
ACCT,710,Seminar in Accounting 2,3,,,,Management (Graduate Studies),Seminar in Accounting.
AEBI,120,General Biology.,3,Fall 2025,,,Natural Resource Sciences (Faculty of Agric Environ Sci),An introduction to core themes in biological sciences; including cell structure and function; cell replication; gene expression; genetic inheritance; biodiversity; evolution; and ecological interactions.
AEBI,122,Cell Biology.,3,Winter 2026,,BIOL 112;LSCI 202,Bioresource Engineering (Faculty of Agric Environ Sci),Introduction to key topics in cell biology; including chemical biology; cell membranes; enzymes in biological reactions; cellular energetics; cell signaling; DNA synthesis and repair; gene expression and regulatory mechanisms. Connections between cell biology and animal physiology.
AEBI,210,Organisms 1.,3,Fall 2025,,,Plant Science (Faculty of Agric Environ Sci),The biology of plants and plant-based systems in managed and natural terrestrial environments. The interactions between autotrophs and soil organisms and selected groups of animals with close ecological and evolutionary connections with plants (e.g.; herbivores and pollinators) will be explored in lecture and laboratory.
AEBI,211,Organisms 2.,3,Winter 2026,,,Natural Resource Sciences (Faculty of Agric Environ Sci),Introduction to the biology of heterotrophs; focusing on animal diversity from the perspectives of phylogenetics; physiology; and ecology. Introduction to major animal taxa; comparing and contrasting these taxa; and exploration of the relationships among them.
AEBI,212,Evolution and Phylogeny.,3,Winter 2026,,,Natural Resource Sciences (Faculty of Agric Environ Sci),Overview of the tree of life and exploration of the central role evolution plays in the field of biology. Difficulties inherent to classifying life and critically assessing evolutionary theory among scientific and popular audiences. The importance of phylogenetics and the relationships among major groups of organisms.
AEBI,421,Tropical Horticultural Ecology.,3,Summer 2025,,,Plant Science (Faculty of Agric Environ Sci),A comprehensive survey of the major fruit; vegetable; turf; and ornamental crops grown in Barbados. Effect of cultural practices; environment; pests and pathogens; social and touristic activities; and importation of horticultural produce on local horticulture.
AEBI,423,Sustainable Land Use.,3,Summer 2025,,,Plant Science (Faculty of Agric Environ Sci),Management; preservation; and utilization of forage crops in sustainable tropical environments; examination of their value as livestock feed in terms of nutritional composition and impact on animal performance; land use issues as it pertains to forage and animal production in insular environments.
AEBI,425,Tropical Energy and Food.,3,Summer 2025,,,Plant Science (Faculty of Agric Environ Sci),Tropical biofuel crops; conversion processes and final products; particularly energy and greenhouse gas balances and bionutraceuticals. Topics include effects of process extraction during refining on biofuel economics; the food versus fuel debate and impact of biofuels and bioproducts on tropical agricultural economics.
AEBI,427,Barbados Interdisciplinary Project.,6,Summer 2025,,,Plant Science (Faculty of Agric Environ Sci),The planning of projects and research activities related to tropical food; nutrition; or energy at the local; regional; or national scale in Barbados. Projects and activities designed in consultation with university instructors; government; NGO; or private partners; and prepared by teams of 2-3 students working cooperatively with these mentors.
AEBI,665,Fundamentals in Advanced Bioimaging.,3,Fall 2025,,,Parasitology (Graduate Studies),Introduction to the principles of fluorescence microscopy; hands-on training on fluorescence imaging; a review of advanced fluorescence microscopy techniques with an emphasis on super-resolution microscopy; and case studies on the application of imaging techniques in biomedical research with a focus on infectious disease models. 
AECH,110,General Chemistry 1.,4,Fall 2025,,FDSC 110,Bioresource Engineering (Faculty of Agric Environ Sci),The course will be a study of the fundamental principles of atomic structure; valence theory and the periodic table.
AECH,111,General Chemistry 2.,4,Winter 2026,AECH 110;FDSC 110,FDSC 111,Bioresource Engineering (Faculty of Agric Environ Sci),Thermodynamics; kinetics; equilibrium; aqueous solution chemistry including applications to acids; bases and buffers and selected topics in organic chemistry.
AECH,118,General Chemistry Laboratory 1.,1,Fall 2025,,AECH 110;AECH 110;CHEM 110;CHEM 112,Bioresource Engineering (Faculty of Agric Environ Sci),The laboratory component of AECH 110. Illustrative experiments.
AECH,119,General Chemistry Laboratory 2.,1,Fall 2025; Winter 2026,,AECH 111;AECH 111;CHEM 120;CHEM 122,Bioresource Engineering (Faculty of Agric Environ Sci),The laboratory component of AECH 111. Illustrative experiments.
AEHM,205,Science Literacy.,3,,,,Natural Resource Sciences (Faculty of Agric Environ Sci),Development of English language and information literacy. Problem-based approach using science topics from specializations offered by the Faculty will be central to skill development. The course includes how to research and compose work in scientific format and will encourage a reader-oriented style.
AEIS,230,Indigenous Health & Nutrition,3,Winter 2026,,,Human Nutrition (Faculty of Agric Environ Sci),Examination of the histories impacting the contemporary nutrition; environment; and health of the Indigenous Peoples of Turtle Island by integrating Western and Indigenous knowledge systems with best practices in supporting Indigenous decision-making. Topics include: Indigenous knowledge systems and methodologies; Treaties and Reconciliation; Residential and Day schools; food sovereignty; environmental contamination and climate change; community-based participatory research; Indigenous access to health care; reflexivity and cultural safety; media advocacy strategies.
AEMA,101,Calculus 1 with Precalculus.,4,Fall 2025,,,Bioresource Engineering (Faculty of Agric Environ Sci),A review of precalculus: functions; graphs;polynomials and rational functions; exponentialand logarithmic functions; and trigonometry.Limits; continuity; and derivatives. Differentiationof elementary functions. Anti-differentiation. Applications.
AEMA,102,Calculus 2.,4,Winter 2026,,,Bioresource Engineering (Faculty of Agric Environ Sci),Integration; the indefinite and definite integral. Trapezoidal and Simpson's Rule approximations for the integral. Applications to areas between curves; distance; volume; length of a curve; work; area of a surface of revolution; average values; moments; etc. Improper integrals and infinite series.
AEMA,105,Precalculus Lab.,1,,,AEMA 102;AEMA 100;FAES who;MATH 112,Bioresource Engineering (Faculty of Agric Environ Sci),Problem-solving: foundational material in algebra concepts; functions and graphs; polynomials and rational functions; exponential and logarithmic functions; graphs and equations; trigonometry; analytic trigonometry; systems of linear equations; sequences & series.
AEMA,202,Intermediate Calculus.,3,Fall 2025,AEMA 102;BREE 103,MATH 222,Bioresource Engineering (Faculty of Agric Environ Sci),Methods of differential and integral calculus forthe study of multivariable functions. Calculus of parametric and polar curves; vectors and geometry of space; vector functions; partial derivatives; multiple integrals; and their applications.
AEMA,204,Data Analytics for Biosystems,3,Winter 2026,,,Bioresource Engineering (Faculty of Agric Environ Sci),Techniques and tools used to analyze agricultural and environmental data using some common programs (Microsoft Excel; Python; R; Jupyter Notebook; RStudio).
AEMA,305,Differential Equations.,3,Winter 2026,AEMA 202,MATH 315,Bioresource Engineering (Faculty of Agric Environ Sci),First and second order differential equations; Laplace transforms; numerical solutions; systems of differential equations; series solutions; applications to biological; chemical and engineering systems; use of computer-based mathematical tools.
AEMA,310,Statistical Methods 1.,3,Fall 2025; Winter 2026,,,Plant Science (Faculty of Agric Environ Sci),Measures of central tendency and dispersion; binomial and Poisson distributions; normal; chi-square; Student's t and Fisher-Snedecor F distributions; estimation and hypothesis testing; simple linear regression and correlation; analysis of variance for simple experimental designs.
AEMA,403,Environmetrics Stage.,3,Summer 2025; Fall 2025; Winter 2026,,,Plant Science (Faculty of Agric Environ Sci),Summer stage of at least four weeks; including a report. Provides students with professional experience in statistical analyses of environmental data. Can be undertaken at federal or provincial research stations and university research laboratories.
AEMA,411,Experimental Designs 01.,3,Winter 2026,AEMA 310,,Plant Science (Faculty of Agric Environ Sci),General principles of experimental design; split-plot designs; spatial heterogeneity and experimental design; incomplete block designs and unbalanced designs; analysis of repeated measures; multivariate and modified univariate analyses of variance; central composite designs.
AEMA,414,Temporal and Spatial Statistics 01.,3,Winter 2026,AEMA 310,,Plant Science (Faculty of Agric Environ Sci),Temporal statistics: analysis in the time domain; Box-Jenkins forecasting methodology; analysis in the frequency domain; periodogram analysis. Spatial statistics: mapping; autocorrelogram analysis; geostatistics. Statistical inference with autocorrelated sample data.
AEMA,610,Statistical Methods 2.,3,Fall 2025,AEMA 310,,Animal Science (Graduate Studies),Principles of linear models; multiple regression equations and classification models. Introduction to Analysis of Variance and common statistical designs used in agricultural and environmental sciences. Emphasis on balanced and unbalanced designs and data structures; their analysis and tests of statistical significance.
AEMA,611,Experimental Designs 1.,3,Winter 2026,AEMA 310,,Plant Science (Graduate Studies),General principles of experimental design; split-plot designs; spatial heterogeneity and experimental design; incomplete block designs and unbalanced designs; analysis of repeated measures; multivariate and modified univariate analyses of variance; central composite designs.
AEMA,614,Temporal and Spatial Statistics 1.,3,Winter 2026,AEMA 310,,Plant Science (Graduate Studies),Temporal statistics: analysis in the time domain; Box-Jenkins forecasting methodology; analysis in the frequency domain; periodogram analysis. Spatial statistics: mapping; autocorrelogram analysis; geostatistics.  Statistical inference with autocorrelated sample data.
